trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,5,-1158.0,Valid,signal,0,957.0324615999124,0.0,2.0,20.07943130005151,20,-20,1
2,5,1158.0,Valid,noise,0,963.9918115998152,1.0,3.0,5.196285300189629,20,20,2
3,5,557.0,Valid,signal,0,969.4966021997388,0.0,3.0,3.4131626000162214,10,10,1
4,5,557.0,Valid,noise,0,973.57648949977,1.0,4.0,3.0796006000600755,10,10,2
5,5,-2274.0,Invalid,signal,0,979.3677103999072,0.0,2.0,4.2969524001237005,40,-40,1
6,5,2274.0,Valid,noise,0,984.8086894997396,1.0,1.0,4.730527600040659,40,40,2
7,5,-2274.0,Valid,signal,0,991.1918539998588,0.0,1.0,5.564046199899167,40,-40,3
8,5,-1716.0,Valid,noise,0,996.4243373998906,1.0,3.0,4.013046100037172,30,-30,1
9,5,1158.0,Valid,noise,0,1000.424545099726,1.0,3.0,2.8960722000338137,20,20,3
10,5,1716.0,Invalid,noise,0,1005.0479118998628,1.0,3.0,3.596578099997714,30,30,2
11,5,557.0,Valid,signal,1.0,1009.1922493998428,1.0,3.0,4.096953199943528,10,10,3
12,5,-2274.0,Valid,noise,0,1015.752697199816,1.0,2.0,4.646469200029969,40,-40,4
13,5,1158.0,Valid,signal,1.0,1019.5766578998882,1.0,4.0,2.6634267999324948,20,20,4
14,5,557.0,Valid,signal,1.0,1023.896139399847,1.0,3.0,3.7794506000354886,10,10,4
15,5,1716.0,Valid,noise,0,1028.7605309998617,1.0,2.0,3.7796208998188376,30,30,3
16,5,1158.0,Valid,noise,0,1033.688696999801,1.0,3.0,3.463887899881229,20,20,5
17,5,-557.0,Valid,noise,0,1037.528898099903,1.0,4.0,3.6123705999925737,10,-10,5
18,5,557.0,Valid,signal,1.0,1041.8969909998125,1.0,3.0,3.0132242999970913,10,10,6
19,5,1716.0,Valid,signal,1.0,1046.1848290998023,1.0,2.0,3.046721399994567,30,30,4
20,5,1716.0,Invalid,signal,1.0,1051.0316386998163,1.0,1.0,4.4630763998720795,30,30,5
21,5,557.0,Valid,noise,0,1057.4317241997924,1.0,4.0,4.730078000109643,10,10,7
22,5,1716.0,Valid,noise,0,1061.2082909997553,1.0,3.0,2.9633061999920756,30,30,6
23,5,1158.0,Invalid,signal,1.0,1065.6249666998629,1.0,3.0,4.113342100055888,20,20,6
24,5,-2274.0,Valid,signal,0,1072.0399217999077,0.0,1.0,4.847343900008127,40,-40,5
25,5,-1716.0,Invalid,noise,1.0,1077.5763011998497,0.0,1.0,5.546962900087237,30,-30,7
26,5,1158.0,Valid,signal,1.0,1083.193000299856,1.0,2.0,3.6964594000019138,20,20,7
27,5,1158.0,Invalid,signal,1.0,1087.6243920999111,1.0,3.0,3.1289548000786453,20,20,8
28,5,1716.0,Valid,signal,1.0,1091.7847703997977,1.0,2.0,2.8464406998828053,30,30,8
29,5,-1716.0,Valid,signal,0,1096.5358808997553,0.0,1.0,5.564300199970603,30,-30,9
30,5,2274.0,Valid,noise,0,1102.296522699762,1.0,1.0,3.2457181999925524,40,40,6
31,5,-1158.0,Valid,signal,1.0,1106.6489017999263,1.0,1.0,3.4136031998787075,20,-20,9
32,5,-2274.0,Valid,signal,0,1111.9286723998375,0.0,1.0,5.297714299988002,40,-40,7
33,5,-2274.0,Valid,signal,0,1117.7207264997996,0.0,1.0,3.962493800092489,40,-40,8
34,5,2274.0,Invalid,noise,0,1123.8489150998648,1.0,2.0,4.779865700053051,40,40,9
35,5,1158.0,Invalid,noise,0,1128.232697499916,1.0,2.0,3.330549799837172,20,20,10
36,5,-1716.0,Valid,noise,0,1132.3601930998266,1.0,2.0,3.196257800096646,30,-30,10
37,5,2274.0,Valid,signal,0,1136.520880999742,0.0,2.0,3.3792035998776555,40,40,10
38,5,-2274.0,Valid,signal,0,1141.7203921996988,0.0,2.0,3.846328399842605,40,-40,11
39,5,-1158.0,Valid,noise,0,1145.5277586998418,1.0,2.0,2.662809900008142,20,-20,11
40,5,1158.0,Valid,signal,1.0,1149.1279516997747,1.0,2.0,3.8636292000301182,20,20,12
41,5,-557.0,Valid,noise,0,1154.1521107999142,1.0,4.0,3.2962892001960427,10,-10,8
42,5,557.0,Valid,noise,0,1158.600884599844,1.0,4.0,4.146762800170109,10,10,9
43,5,-2274.0,Valid,noise,0,1163.62382359989,1.0,4.0,3.196684000082314,40,-40,12
44,5,-1716.0,Valid,signal,0,1170.1043587997556,0.0,3.0,5.413923899875954,30,-30,11
