trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,9,-2274.0,Invalid,signal,0,945.5394962001592,0.0,3.0,6.085458799963817,40,-40,1
2,9,1716.0,Invalid,noise,0,951.763357900316,1.0,4.0,9.48243540013209,30,30,1
3,9,1716.0,Valid,noise,0,961.6996391001156,1.0,3.0,3.229083300102502,30,30,2
4,9,-1158.0,Valid,noise,0,965.7314277002588,1.0,3.0,3.046372100012377,20,-20,1
5,9,557.0,Valid,signal,0,969.6827621001283,0.0,4.0,2.862777200061828,10,10,1
6,9,1716.0,Valid,noise,0,973.4273050001356,1.0,4.0,3.0466394000686705,30,30,3
7,9,1158.0,Valid,noise,0,977.47526520025,1.0,3.0,3.045927400002256,20,20,2
8,9,-1158.0,Valid,noise,0,981.459739900194,1.0,4.0,2.5958881000988185,20,-20,3
9,9,-1716.0,Valid,signal,0,985.1232542002108,0.0,4.0,2.6129153999499977,30,-30,4
10,9,-557.0,Valid,signal,0,988.5789619002026,0.0,4.0,2.746183600043878,10,-10,2
11,9,-2274.0,Invalid,noise,0,993.444064100273,1.0,2.0,3.896592500153929,40,-40,2
12,9,1716.0,Valid,signal,0,997.699017100269,0.0,4.0,3.162393999984488,30,30,5
13,9,-557.0,Invalid,signal,0,1002.243183300132,0.0,4.0,3.397243299987167,10,-10,3
14,9,2274.0,Valid,noise,0,1007.7638637002092,1.0,3.0,5.046647599898279,40,40,3
15,9,1716.0,Valid,noise,0,1011.8911787001416,1.0,4.0,2.363072199979797,30,30,6
16,9,1716.0,Valid,signal,0,1015.4918209002352,0.0,4.0,3.463123300112784,30,30,7
17,9,1716.0,Invalid,signal,0,1020.868041800335,0.0,3.0,3.6128829000517726,30,30,8
18,9,2274.0,Valid,signal,0,1024.7390047002118,0.0,3.0,2.9301595999859273,40,40,4
19,9,-2274.0,Valid,noise,0,1029.587086000247,1.0,3.0,3.67957970011048,40,-40,5
20,9,1158.0,Invalid,noise,0,1033.7155758002773,1.0,3.0,3.0958159000147134,20,20,4
21,9,-1716.0,Valid,signal,0,1037.171175800264,0.0,3.0,2.3956017000600696,30,-30,9
22,9,1158.0,Valid,noise,0,1041.3312076001894,1.0,3.0,3.3800941000226885,20,20,5
23,9,1158.0,Valid,noise,0,1045.010843400145,1.0,3.0,2.729315900010988,20,20,6
24,9,2274.0,Valid,signal,0,1051.8428885003086,0.0,2.0,6.4313328000716865,40,40,6
25,9,-557.0,Valid,signal,0,1056.1798287001438,0.0,4.0,4.913925100117922,10,-10,4
26,9,-1158.0,Valid,signal,0,1062.1320209002588,0.0,3.0,2.6289184999186546,20,-20,7
27,9,-1158.0,Invalid,noise,0,1065.9073853001464,1.0,3.0,3.4464871999807656,20,-20,8
28,9,2274.0,Valid,noise,0,1070.7079852002207,1.0,3.0,3.5130946000572294,40,40,7
29,9,2274.0,Valid,signal,0,1075.6195579001214,0.0,2.0,4.163814299972728,40,40,8
30,9,2274.0,Valid,signal,0,1080.1148444002029,0.0,2.0,2.862343000015244,40,40,9
31,9,557.0,Invalid,signal,0,1083.8280165002216,0.0,4.0,3.213048600126058,10,10,5
32,9,2274.0,Valid,signal,0,1088.2750375003088,0.0,2.0,3.2965855998918414,40,40,10
33,9,-1716.0,Valid,noise,0,1092.2273480002768,1.0,3.0,2.962943200021982,30,-30,10
34,9,2274.0,Invalid,signal,0,1097.0114596001804,0.0,2.0,3.24608669988811,40,40,11
35,9,-1716.0,Valid,signal,0,1100.4200483001769,0.0,3.0,2.862926699919626,30,-30,11
36,9,-557.0,Valid,signal,0,1104.259256800171,0.0,3.0,2.8126076001208276,10,-10,6
37,9,-2274.0,Valid,noise,0,1108.323154800339,1.0,3.0,4.0642512999475,40,-40,12
38,9,-1716.0,Valid,noise,0,1113.3466211003251,1.0,3.0,3.1289772000163794,30,-30,12
39,9,1158.0,Valid,noise,0,1117.3788316003047,1.0,3.0,2.6628876000177115,20,20,9
40,9,-1716.0,Valid,signal,0,1121.0910338002725,0.0,3.0,3.079598099924624,30,-30,13
41,9,-1158.0,Valid,noise,0,1125.2036237001885,1.0,3.0,3.4966692000161856,20,-20,10
