trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,17,1158.0,Valid,noise,0,30.422106300015,1.0,4.0,31.729645600018557,20,20,1
2,17,-2274.0,Valid,signal,1.0,3.6723809000104666,1.0,2.0,4.980314099986572,40,-40,1
3,17,1716.0,Valid,noise,0,4.723009600013029,1.0,4.0,6.0305712999543175,30,30,1
4,17,-1716.0,Valid,noise,0,2.605049300007522,1.0,4.0,3.912948700017296,30,-30,2
5,17,1716.0,Invalid,noise,0,2.671405400033109,1.0,4.0,3.979366299987305,30,30,3
6,17,2274.0,Valid,signal,0,6.057582399982493,0.0,2.0,7.36533669999335,40,40,2
7,17,557.0,Invalid,noise,0,3.722601799992845,1.0,4.0,5.030302300001495,10,10,1
8,17,1158.0,Invalid,noise,0,2.67183320003096,1.0,3.0,3.9797444000141695,20,20,2
9,17,557.0,Valid,signal,1.0,4.43950139998924,1.0,4.0,5.747351299971342,10,10,2
10,17,-1716.0,Valid,signal,1.0,3.1054619000060484,1.0,3.0,4.413094200019259,30,-30,4
11,17,-557.0,Valid,signal,1.0,1.7383446000167169,1.0,4.0,3.0461396000464447,10,-10,3
12,17,-1158.0,Valid,noise,1.0,3.8393720000167377,0.0,2.0,5.147153199999593,20,-20,3
13,17,-1158.0,Valid,noise,0,2.205205600010231,1.0,2.0,3.513223900052253,20,-20,4
14,17,-1716.0,Invalid,noise,0,3.505705400020815,1.0,1.0,4.813763800018933,30,-30,5
15,17,-557.0,Valid,noise,1.0,3.1888405000208877,0.0,3.0,4.496893799980171,10,-10,4
16,17,1716.0,Invalid,signal,1.0,2.705849899968598,1.0,3.0,4.013583399995696,30,30,6
17,17,557.0,Valid,noise,0,2.0879987999796867,1.0,3.0,3.395642399962526,10,10,5
18,17,2274.0,Valid,signal,0,3.390899499994702,0.0,1.0,7.047228800016455,40,40,3
19,17,1716.0,Valid,noise,1.0,2.0556210999493487,0.0,2.0,3.363324499980081,30,30,7
20,17,557.0,Valid,noise,1.0,4.222427300002892,0.0,1.0,5.530090799962636,10,10,6
21,17,557.0,Valid,signal,1.0,1.805352800001856,1.0,4.0,3.1130604000063613,10,10,7
22,17,2274.0,Invalid,noise,0,4.789489200047683,1.0,1.0,6.097249499987811,40,40,4
23,17,-1158.0,Valid,signal,1.0,2.005331700027454,1.0,4.0,3.313141699996777,20,-20,5
24,17,-1716.0,Valid,noise,1.0,1.9716267999610864,0.0,2.0,3.279537499998696,30,-30,8
25,17,-557.0,Valid,noise,1.0,2.522694599989336,0.0,2.0,3.830397399957292,10,-10,8
26,17,1716.0,Valid,signal,1.0,1.9877915000543,1.0,3.0,3.295663299970329,30,30,9
27,17,2274.0,Valid,signal,1.0,2.472146200016141,1.0,1.0,3.7801053000148386,40,40,5
28,17,557.0,Valid,signal,1.0,2.305627800000366,1.0,4.0,3.613182400004007,10,10,9
