trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,11,557.0,Valid,noise,0,964.1212781,1.0,2.0,11.6537513,10,10,1
2,11,2274.0,Valid,signal,0,979.8663331,0.0,4.0,10.632699,40,40,1
3,11,1158.0,Valid,signal,0,987.4331074,0.0,4.0,3.3457549,20,20,1
4,11,-1716.0,Valid,noise,1.0,991.9305292,0.0,1.0,3.9469058,30,-30,1
5,11,2274.0,Valid,noise,1.0,996.6980059,0.0,1.0,3.5965275,40,40,2
6,11,-1158.0,Valid,signal,0,1001.434232,0.0,4.0,3.8131473,20,-20,2
7,11,-1716.0,Valid,noise,1.0,1006.202275,0.0,2.0,3.3130198,30,-30,2
8,11,-1716.0,Valid,signal,0,1010.330304,0.0,4.0,2.7293495,30,-30,3
9,11,-1716.0,Valid,noise,1.0,1013.97768,0.0,2.0,2.6964482,30,-30,4
10,11,-557.0,Valid,noise,1.0,1023.401397,0.0,2.0,8.69823,10,-10,2
11,11,-557.0,Invalid,noise,0,1028.122508,1.0,2.0,3.5798267,10,-10,3
12,11,-557.0,Valid,signal,0,1032.218128,0.0,4.0,3.613449,10,-10,4
13,11,557.0,Valid,noise,1.0,1037.0025,0.0,3.0,4.0466113,10,10,5
14,11,-1716.0,Valid,signal,0,1041.802203,0.0,4.0,2.6960974,30,-30,5
15,11,1158.0,Valid,signal,0,1046.64945,0.0,4.0,4.3463263,20,20,3
16,11,1158.0,Valid,noise,1.0,1050.841066,0.0,3.0,3.1623829,20,20,4
17,11,1158.0,Invalid,signal,0,1055.434472,0.0,4.0,3.0459123,20,20,5
18,11,1716.0,Invalid,signal,0,1058.937923,0.0,4.0,7.1815214,30,30,6
19,11,2274.0,Valid,signal,0,1067.385396,0.0,4.0,2.64621,40,40,3
20,11,557.0,Valid,signal,0,1070.665191,0.0,4.0,2.2124394,10,10,6
21,11,1158.0,Valid,signal,0,1073.897667,0.0,4.0,2.2626288,20,20,6
22,11,-2274.0,Valid,noise,1.0,1077.434254,0.0,3.0,2.7962249,40,-40,4
23,11,-1716.0,Valid,noise,1.0,1081.54551,0.0,2.0,3.2796422,30,-30,7
24,11,557.0,Valid,noise,1.0,1085.81773,0.0,3.0,3.4632217,10,10,7
25,11,-1158.0,Valid,noise,1.0,1091.081291,0.0,2.0,6.330638,20,-20,7
26,11,-2274.0,Valid,noise,0,1098.137618,1.0,3.0,3.5791837,40,-40,5
27,11,-557.0,Valid,noise,1.0,1102.72975,0.0,2.0,3.6799096,10,-10,8
28,11,1716.0,Valid,signal,0,1106.505385,0.0,4.0,2.8961672,30,30,8
29,11,-1716.0,Invalid,noise,0,1111.946178,1.0,2.0,4.1632749,30,-30,9
30,11,-1158.0,Valid,signal,0,1115.802254,0.0,4.0,3.029642,20,-20,8
31,11,-2274.0,Valid,noise,1.0,1120.025675,0.0,2.0,2.9129478,40,-40,6
32,11,-557.0,Valid,signal,0,1123.593848,0.0,4.0,2.6464192,10,-10,9
33,11,-1716.0,Valid,noise,0,1127.337454,1.0,1.0,5.113776,30,-30,10
34,11,2274.0,Valid,signal,0,1133.29,0.0,4.0,2.612305,40,40,7
35,11,557.0,Invalid,signal,0,1136.761617,0.0,4.0,3.0300437,10,10,10
36,11,2274.0,Invalid,signal,0,1141.113671,0.0,4.0,2.8289782,40,40,8
37,11,-2274.0,Valid,signal,0,1144.745297,0.0,4.0,2.6290383,40,-40,9
38,11,-1158.0,Invalid,signal,0,1148.682351,0.0,4.0,3.2300068,20,-20,9
39,11,1716.0,Valid,noise,1.0,1152.71368,0.0,2.0,3.0132595,30,30,11
40,11,-1158.0,Valid,noise,1.0,1157.753885,0.0,2.0,4.0793514,20,-20,10
41,11,1716.0,Valid,noise,1.0,1163.338062,0.0,1.0,4.7296704,30,30,12
42,11,-1158.0,Invalid,signal,0,1167.529236,0.0,4.0,2.5795825,20,-20,11
43,11,1716.0,Valid,signal,0,1170.922395,0.0,4.0,2.2459124,30,30,13
44,11,2274.0,Valid,signal,0,1174.090224,0.0,4.0,2.2623773,40,40,10
45,11,-1158.0,Valid,noise,1.0,1177.898118,0.0,2.0,3.7468336,20,-20,12
46,11,2274.0,Valid,signal,0,1182.185118,0.0,4.0,2.6793437,40,40,11
47,11,1716.0,Valid,signal,0,1186.121747,0.0,4.0,3.0297165,30,30,14
48,11,1158.0,Valid,noise,1.0,1190.36207,0.0,3.0,3.3965303,20,20,13
49,11,-1158.0,Valid,signal,0,1194.409928,0.0,4.0,3.0796409,20,-20,14
50,11,-2274.0,Valid,signal,0,1198.585495,0.0,4.0,5.2970544,40,-40,12
51,11,2274.0,Valid,noise,1.0,1205.818244,0.0,1.0,3.6303761,40,40,13
52,11,557.0,Invalid,noise,0,1211.497338,1.0,4.0,6.1967868,10,10,11
53,11,-1158.0,Valid,signal,0,1216.585117,0.0,4.0,4.8803891,20,-20,15
54,11,-1716.0,Invalid,noise,1.0,1222.761544,0.0,2.0,3.2968832,30,-30,15
55,11,2274.0,Invalid,signal,0,1227.257137,0.0,4.0,2.8458048,40,40,14
56,11,557.0,Valid,signal,0,1230.745312,0.0,4.0,2.545655,10,10,12
57,11,-557.0,Valid,noise,1.0,1235.386105,0.0,2.0,4.3300848,10,-10,13
58,11,-2274.0,Invalid,signal,0,1239.642379,0.0,4.0,3.0132065,40,-40,15
59,11,-557.0,Valid,noise,0,1244.601901,1.0,3.0,4.0959133,10,-10,14
60,11,1716.0,Valid,noise,1.0,1248.79298,0.0,1.0,3.5466243,30,30,16
61,11,-1158.0,Valid,signal,0,1253.562333,0.0,4.0,3.1965224,20,-20,16
62,11,-2274.0,Valid,signal,0,1257.561942,0.0,4.0,3.1628163,40,-40,16
63,11,-2274.0,Valid,signal,0,1261.769594,0.0,4.0,3.4972658,40,-40,17
64,11,-557.0,Valid,signal,0,1266.217566,0.0,4.0,2.7457529,10,-10,15
65,11,1158.0,Invalid,signal,0,1269.929208,0.0,4.0,2.5791621,20,20,17
66,11,-1716.0,Valid,noise,1.0,1273.417067,0.0,2.0,3.246563,30,-30,17
67,11,557.0,Valid,noise,1.0,1279.642288,0.0,2.0,4.6133024,10,10,16
68,11,1158.0,Invalid,noise,0,1284.28163,1.0,2.0,4.1467229,20,20,18
69,11,2274.0,Valid,noise,0,1290.713662,1.0,1.0,7.9647726,40,40,18
70,11,-2274.0,Valid,signal,0,1297.865487,0.0,3.0,3.7797982,40,-40,19
71,11,557.0,Valid,noise,1.0,1305.208977,0.0,3.0,5.6476728,10,10,17
72,11,-2274.0,Valid,signal,0,1309.049188,0.0,3.0,3.8630802,40,-40,20
73,11,1158.0,Valid,noise,1.0,1313.865074,0.0,3.0,2.7960272,20,20,19
74,11,-557.0,Invalid,signal,0,1318.058161,0.0,4.0,5.6134051,10,-10,18
75,11,2274.0,Valid,noise,1.0,1325.530041,0.0,1.0,5.3977014,40,40,21
76,11,1158.0,Valid,signal,0,1330.554285,0.0,4.0,3.6461183,20,20,20
77,11,-557.0,Valid,noise,1.0,1337.049528,0.0,3.0,4.8638487,10,-10,19
78,11,1716.0,Valid,signal,0,1341.354339,0.0,4.0,3.2963177,30,30,18
79,11,1158.0,Valid,signal,0,1345.753698,0.0,4.0,8.5145728,20,20,21
80,11,-557.0,Valid,noise,1.0,1354.825381,0.0,3.0,2.7958104,10,-10,20
81,11,557.0,Valid,noise,1.0,1359.321326,0.0,2.0,4.0134196,10,10,21
82,11,2274.0,Invalid,noise,1.0,1363.84902,0.0,1.0,5.4636574,40,40,22
83,11,2274.0,Valid,noise,1.0,1370.490112,0.0,2.0,3.1294145,40,40,23
84,11,-1716.0,Valid,noise,1.0,1374.537799,0.0,1.0,3.2129701,30,-30,19
85,11,1716.0,Invalid,noise,0,1379.849837,1.0,3.0,4.5468389,30,30,20
86,11,-1716.0,Valid,noise,1.0,1384.45713,0.0,2.0,3.8132728,30,-30,21
87,11,-1716.0,Valid,signal,0,1388.841503,0.0,4.0,2.6291992,30,-30,22
88,11,-2274.0,Invalid,noise,1.0,1392.969225,0.0,3.0,3.5295351,40,-40,24
89,11,-1158.0,Valid,noise,1.0,1397.049965,0.0,2.0,2.880035,20,-20,22
90,11,-557.0,Valid,noise,1.0,1401.513762,0.0,2.0,4.880078,10,-10,22
91,11,557.0,Valid,signal,0,1406.825567,0.0,4.0,3.1801388,10,10,23
92,11,1158.0,Valid,signal,0,1411.161205,0.0,4.0,2.7790517,20,20,23
93,11,-1716.0,Valid,noise,1.0,1414.905019,0.0,3.0,3.1792536,30,-30,23
94,11,557.0,Valid,signal,0,1419.066111,0.0,4.0,2.8957856,10,10,24
95,11,2274.0,Invalid,noise,1.0,1423.721064,0.0,2.0,3.34655,40,40,25
96,11,-2274.0,Valid,signal,0,1427.385601,0.0,4.0,3.0794795,40,-40,26
97,11,1716.0,Invalid,signal,0,1431.561253,0.0,4.0,2.6798242,30,30,24
