trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,23,1716.0,Valid,signal,1.0,5.048935999977402,1.0,4.0,6.356819100037683,30,30,1
2,23,1716.0,Valid,signal,1.0,3.122722399944905,1.0,4.0,4.430458499991801,30,30,2
3,23,-1716.0,Valid,noise,0,2.9886145999771543,1.0,4.0,4.296462500002235,30,-30,3
4,23,1716.0,Valid,signal,1.0,3.9228016000124626,1.0,4.0,5.23058969998965,30,30,4
5,23,-1716.0,Valid,signal,1.0,2.9383431999594904,1.0,3.0,4.246148700010963,30,-30,5
6,23,1158.0,Valid,noise,1.0,3.255782799969893,0.0,3.0,4.56338239996694,20,20,1
7,23,1716.0,Valid,signal,1.0,2.872524000005797,1.0,3.0,4.180310599971563,30,30,6
8,23,-1158.0,Valid,noise,0,3.038790400023572,1.0,2.0,4.346558700024616,20,-20,2
9,23,1716.0,Valid,signal,1.0,1.8544401000253856,1.0,4.0,3.1622543000266887,30,30,7
10,23,2274.0,Valid,noise,1.0,2.8717272999929264,0.0,4.0,4.179868499981239,40,40,1
11,23,1158.0,Valid,noise,0,2.222087999980431,1.0,3.0,3.52996339998208,20,20,3
12,23,-1716.0,Valid,signal,1.0,2.5047792999539524,1.0,4.0,3.812563999963458,30,-30,8
13,23,-2274.0,Valid,noise,0,1.3554240000084974,1.0,4.0,2.6632766000111587,40,-40,2
14,23,557.0,Valid,noise,0,1.6882591000176037,1.0,4.0,2.996109700005036,10,10,1
15,23,-557.0,Valid,noise,0,1.3874895999906585,1.0,4.0,2.6954674999578856,10,-10,2
16,23,1158.0,Valid,noise,0,1.672283600026276,1.0,3.0,2.9799543999833986,20,20,4
17,23,2274.0,Valid,noise,0,1.5712709999643266,1.0,2.0,2.8789039999828674,40,40,3
18,23,-1716.0,Invalid,noise,0,3.572753400017973,1.0,1.0,4.880494299985003,30,-30,9
19,23,1158.0,Valid,noise,0,1.4051007999805734,1.0,2.0,2.71281470003305,20,20,5
20,23,557.0,Valid,noise,0,1.1870688000344671,1.0,2.0,2.4953005000134,10,10,3
21,23,-557.0,Valid,signal,0,1.288059799990151,0.0,2.0,2.5959602000075392,10,-10,4
22,23,1716.0,Valid,noise,0,1.4716989999869838,1.0,2.0,2.7795557000208646,30,30,10
23,23,-557.0,Valid,signal,0,1.5385543999727815,0.0,2.0,2.846476199978497,10,-10,5
24,23,2274.0,Valid,signal,0,1.4877389000030234,0.0,4.0,2.795799699961208,40,40,4
25,23,-557.0,Valid,noise,0,1.3221788000082595,1.0,3.0,2.629856299958192,10,-10,6
26,23,1158.0,Valid,noise,0,1.2715656000073068,1.0,3.0,2.579335300019011,20,20,6
27,23,-1716.0,Valid,signal,0,0.8879640999948606,0.0,3.0,2.195802200003527,30,-30,11
28,23,2274.0,Invalid,noise,0,2.254880599968601,1.0,3.0,3.5625702000106685,40,40,5
29,23,557.0,Valid,noise,0,0.8545049000531435,1.0,4.0,2.162486399989575,10,10,7
30,23,-557.0,Valid,noise,0,1.5712808999815024,1.0,4.0,2.8794274000101723,10,-10,8
31,23,-557.0,Valid,signal,1.0,1.5379969999776222,1.0,2.0,2.845998500008136,10,-10,9
32,23,-1716.0,Valid,noise,0,1.6215133999940008,1.0,4.0,2.9294829000136815,30,-30,12
33,23,557.0,Invalid,signal,0,1.5882692000013776,0.0,2.0,2.8962540000211447,10,10,10
34,23,1716.0,Valid,signal,1.0,1.4049228000221774,1.0,3.0,2.7127783999894746,30,30,13
35,23,-2274.0,Valid,noise,0,1.388348100008443,1.0,3.0,2.696228000044357,40,-40,6
36,23,1158.0,Valid,signal,1.0,1.2048518999945372,1.0,4.0,2.512566899997182,20,20,7
37,23,-1158.0,Valid,signal,1.0,1.9720128999906592,1.0,3.0,3.28006290004123,20,-20,8
38,23,-1716.0,Invalid,signal,0,1.7712667000014335,0.0,2.0,3.079222300031688,30,-30,14
39,23,-1716.0,Valid,noise,0,1.3883725000196137,1.0,4.0,2.696145099995192,30,-30,15
40,23,557.0,Invalid,noise,0,1.7549154000007547,1.0,3.0,3.062894300033804,10,10,11
41,23,-1716.0,Valid,noise,0,1.1044173000263982,1.0,3.0,2.4123487999895588,30,-30,16
42,23,-557.0,Valid,noise,0,1.1047178000444546,1.0,3.0,2.412596100009978,10,-10,12
43,23,-1158.0,Valid,noise,0,1.1723114000051282,1.0,3.0,2.4800871000043117,20,-20,9
44,23,557.0,Valid,noise,0,0.9209157000295818,1.0,3.0,2.2286662999540567,10,10,13
45,23,1716.0,Valid,noise,0,1.137866600009147,1.0,3.0,2.4456985000288114,30,30,17
46,23,1158.0,Valid,signal,1.0,1.221078500035219,1.0,4.0,2.529141300008632,20,20,10
47,23,1716.0,Invalid,noise,0,1.838616799970623,1.0,3.0,3.146405900013633,30,30,18
48,23,-557.0,Valid,noise,0,1.038534699997399,1.0,3.0,2.3465615999884903,10,-10,14
