trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,32,1716.0,Valid,noise,0,5.963643800001591,1.0,2.0,7.271352999843657,30,30,1
2,32,1716.0,Valid,signal,0,1.718968499917537,0.0,2.0,3.0293048000894487,30,30,2
3,32,1716.0,Valid,noise,0,2.238056200090796,1.0,3.0,3.545946300029754,30,30,3
4,32,-1716.0,Valid,noise,0,2.3719057000707835,1.0,3.0,3.6796695000957698,30,-30,4
5,32,-1158.0,Valid,noise,1.0,2.1890684999525547,0.0,2.0,3.496551200048998,20,-20,1
6,32,-1158.0,Valid,noise,0,1.871130800107494,1.0,2.0,3.17899309983477,20,-20,2
7,32,-1716.0,Valid,signal,1.0,1.8889152000192553,1.0,2.0,3.1968125000130385,30,-30,5
8,32,1716.0,Valid,signal,0,2.454559300094843,0.0,2.0,3.762552700005472,30,30,6
9,32,-1716.0,Valid,signal,0,4.389182500075549,0.0,1.0,5.697239800123498,30,-30,7
10,32,1716.0,Invalid,signal,1.0,1.971673599909991,1.0,2.0,3.279424900189042,30,30,8
11,32,2274.0,Valid,signal,0,4.056147800059989,0.0,1.0,5.36390439979732,40,40,1
12,32,1716.0,Valid,signal,0,1.7045747998636216,0.0,2.0,3.0122301001101732,30,30,9
13,32,-2274.0,Valid,signal,0,2.721661200048402,0.0,1.0,4.029445900116116,40,-40,2
14,32,1716.0,Valid,noise,0,1.572062199935317,1.0,2.0,2.8798519000411034,30,30,10
15,32,-2274.0,Valid,noise,0,1.604928500019014,1.0,2.0,2.9125000999774784,40,-40,3
16,32,-557.0,Valid,noise,0,1.9214999000541864,1.0,3.0,3.229356899857521,10,-10,1
17,32,1716.0,Valid,signal,0,2.2049447000026703,0.0,2.0,3.512976699974388,30,30,11
18,32,1716.0,Valid,noise,0,1.8384764001239091,1.0,2.0,3.1461779999081045,30,30,12
19,32,-2274.0,Valid,signal,0,2.288240199908614,0.0,3.0,3.596172100165859,40,-40,4
20,32,-557.0,Invalid,noise,0,3.0390508000273257,1.0,2.0,4.346716900123283,10,-10,2
21,32,-2274.0,Valid,signal,0,1.521185199962929,0.0,2.0,2.829024499980733,40,-40,5
22,32,-1158.0,Valid,noise,1.0,4.355784700019285,0.0,2.0,5.663671999936923,20,-20,3
