trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,8,-1716.0,Valid,signal,1.0,1031.4794159003068,1.0,1.0,41.876873299945146,30,-30,1
2,8,-1158.0,Valid,noise,0,1046.8879134003073,1.0,3.0,5.514092700090259,20,-20,1
3,8,1158.0,Valid,noise,0,1056.1512579002883,1.0,3.0,7.414350299863145,20,20,2
4,8,2274.0,Invalid,noise,0,1061.4804379001723,1.0,2.0,3.847410400165245,40,40,1
5,8,2274.0,Valid,noise,0,1066.9523252001964,1.0,2.0,5.529850699938834,40,40,2
6,8,-2274.0,Valid,noise,0,1072.2326307003386,1.0,3.0,2.8464687999803573,40,-40,3
7,8,1716.0,Invalid,signal,0,1076.632541200146,0.0,2.0,4.3462964000646025,30,30,2
8,8,2274.0,Valid,signal,0,1081.5759605001658,0.0,3.0,3.1795070997904986,40,40,4
9,8,-557.0,Valid,noise,0,1085.479449200211,1.0,4.0,3.413332700030878,10,-10,1
10,8,1158.0,Valid,signal,1.0,1090.7282296002377,1.0,2.0,3.7298849001526833,20,20,3
11,8,2274.0,Valid,signal,0,1094.6482043003198,0.0,3.0,3.1624974999576807,40,40,5
12,8,1158.0,Valid,noise,0,1098.8560493001714,1.0,3.0,2.9124857001006603,20,20,4
13,8,1158.0,Invalid,signal,1.0,1103.544348800322,1.0,2.0,3.5631044001784176,20,20,5
14,8,-1158.0,Valid,signal,1.0,1107.4953271001575,1.0,2.0,3.063073799945414,20,-20,6
15,8,557.0,Valid,signal,1.0,1112.0886469001416,1.0,2.0,3.429206799948588,10,10,2
16,8,2274.0,Valid,noise,0,1116.2325493001845,1.0,2.0,3.380027800099924,40,40,6
17,8,-2274.0,Valid,signal,0,1120.1679880002048,0.0,2.0,2.629543300019577,40,-40,7
18,8,-557.0,Valid,noise,0,1124.1041037002578,1.0,3.0,3.496787399984896,10,-10,3
19,8,-1158.0,Valid,noise,0,1128.3600242002867,1.0,3.0,2.7289696000516415,20,-20,7
20,8,-1158.0,Valid,noise,0,1131.896330700256,1.0,3.0,2.7961158000398427,20,-20,8
21,8,-1716.0,Valid,signal,0,1135.8004330003168,0.0,2.0,3.1466626999899745,30,-30,3
22,8,1158.0,Valid,noise,0,1139.8641159001272,1.0,2.0,2.662475000135601,20,20,9
23,8,-2274.0,Valid,noise,0,1143.463742900174,1.0,2.0,2.6463659999426454,40,-40,8
24,8,-2274.0,Valid,signal,0,1147.3033824001905,0.0,2.0,3.279827699996531,40,-40,9
25,8,1716.0,Valid,signal,0,1152.0406289002858,0.0,2.0,3.4633967000991106,30,30,4
26,8,1158.0,Valid,signal,1.0,1156.2483475003392,1.0,2.0,3.2626486998051405,20,20,10
27,8,-557.0,Valid,noise,0,1160.7594302003272,1.0,3.0,3.762855499982834,10,-10,4
28,8,1716.0,Valid,noise,0,1164.9523480001371,1.0,3.0,2.896482300013304,30,30,5
29,8,-557.0,Valid,signal,0,1169.575230800314,0.0,2.0,3.629660699982196,10,-10,5
30,8,-1716.0,Invalid,noise,0,1174.0404073002285,1.0,2.0,3.512962100096047,30,-30,6
31,8,-1716.0,Valid,signal,0,1178.664573600283,0.0,2.0,3.2630801999475807,30,-30,7
32,8,2274.0,Valid,noise,0,1182.7760102001484,1.0,2.0,3.5791764999739826,40,40,10
33,8,-1158.0,Valid,noise,0,1188.2957551002037,1.0,2.0,4.413827399956062,20,-20,11
34,8,557.0,Valid,noise,0,1192.5194873001892,1.0,2.0,2.762722099898383,10,10,6
35,8,-1716.0,Valid,noise,0,1197.5915702001655,1.0,2.0,5.213721700012684,30,-30,8
36,8,557.0,Valid,noise,0,1202.44012140017,1.0,4.0,4.947086799889803,10,10,7
37,8,-1158.0,Invalid,noise,0,1209.2079432001335,1.0,3.0,3.462867700029165,20,-20,12
38,8,1716.0,Valid,signal,1.0,1212.8723983003292,1.0,2.0,2.7962398000527173,30,30,9
39,8,-1158.0,Invalid,signal,1.0,1216.9518066002056,1.0,3.0,3.6630229000002146,20,-20,13
40,8,2274.0,Valid,signal,0,1221.9920245001558,0.0,2.0,3.5634405000600964,40,40,11
41,8,1716.0,Invalid,noise,0,1227.463276800234,1.0,2.0,4.746593599906191,30,30,10
42,8,-1716.0,Invalid,signal,1.0,1232.44044820033,1.0,1.0,4.1803492999169976,30,-30,11
43,8,2274.0,Valid,noise,0,1237.128229800146,1.0,2.0,3.0794732000213116,40,40,12
44,8,2274.0,Valid,signal,0,1241.319162600208,0.0,2.0,3.1295729000121355,40,40,13
45,8,-1158.0,Invalid,signal,1.0,1245.40049980022,1.0,3.0,7.664671999868005,20,-20,14
46,8,-557.0,Invalid,noise,0,1256.2313540002797,1.0,2.0,7.514429199974984,10,-10,8
47,8,557.0,Valid,noise,0,1262.9045755001716,1.0,3.0,3.796555200126022,10,10,9
48,8,-2274.0,Valid,noise,0,1267.1595337002072,1.0,2.0,3.063405699795112,40,-40,14
49,8,-557.0,Valid,signal,0,1271.4791618001182,0.0,2.0,3.679683099966496,10,-10,10
50,8,-2274.0,Valid,noise,0,1276.119163900148,1.0,2.0,2.946342899929732,40,-40,15
51,8,1158.0,Invalid,noise,0,1280.2954366002232,1.0,2.0,3.0794592001475394,20,20,15
52,8,2274.0,Valid,signal,0,1283.944431200158,0.0,2.0,3.6465501999482512,40,40,16
53,8,2274.0,Valid,noise,0,1289.1603289002087,1.0,2.0,3.3960178000852466,40,40,17
54,8,-1716.0,Valid,signal,0,1292.8235882001463,0.0,2.0,2.596164399990812,30,-30,12
55,8,-2274.0,Invalid,noise,0,1297.0642620001454,1.0,2.0,3.213092900114134,40,-40,18
56,8,-1716.0,Invalid,noise,0,1300.8237882002722,1.0,2.0,2.8799805999733508,30,-30,13
57,8,-2274.0,Valid,signal,0,1304.7915781002955,0.0,2.0,5.163074699928984,40,-40,19
58,8,1716.0,Valid,signal,0,1313.0003599002955,0.0,3.0,5.88079970004037,30,30,14
59,8,1158.0,Valid,noise,0,1318.071612100117,1.0,3.0,3.3962562000378966,20,20,16
60,8,1716.0,Invalid,signal,0,1323.3521150001325,0.0,3.0,4.446913100080565,30,30,15
61,8,-1158.0,Valid,signal,1.0,1327.783563800156,1.0,3.0,2.8964851000346243,20,-20,17
62,8,1158.0,Valid,noise,0,1331.2233285002876,1.0,2.0,3.012731300201267,20,20,18
63,8,-1716.0,Valid,noise,0,1335.2071257003115,1.0,2.0,2.6458888999186456,30,-30,16
64,8,1158.0,Valid,signal,1.0,1340.2324781003408,1.0,3.0,4.080243399832398,20,20,19
65,8,-1716.0,Valid,noise,0,1343.9920664001256,1.0,2.0,3.0299576001707464,30,-30,17
66,8,1158.0,Valid,signal,1.0,1348.2156277003232,1.0,3.0,3.345622600056231,20,20,20
67,8,2274.0,Invalid,signal,0,1353.127444300335,0.0,2.0,3.963873199885711,40,40,20
68,8,557.0,Invalid,noise,0,1357.9591798002366,1.0,3.0,3.4298138001468033,10,10,11
69,8,557.0,Valid,noise,0,1362.3756879002322,1.0,4.0,3.4458610999863595,10,10,12
70,8,2274.0,Invalid,signal,0,1367.0481973001731,0.0,2.0,3.9971100001130258,40,40,21
71,8,1158.0,Valid,signal,1.0,1371.4643076001666,1.0,2.0,2.563011300051585,20,20,21
72,8,-1716.0,Valid,noise,0,1374.9190964002628,1.0,2.0,2.829039999982342,30,-30,18
73,8,557.0,Invalid,signal,0,1378.9036377002485,0.0,3.0,3.1792858000844717,10,10,13
74,8,557.0,Valid,signal,1.0,1383.703400600236,1.0,2.0,3.363399799913168,10,10,14
75,8,-1716.0,Valid,noise,0,1387.351901500253,1.0,2.0,7.632083799922839,30,-30,19
76,8,-557.0,Valid,signal,1.0,1396.8241872002836,1.0,2.0,4.396613999968395,10,-10,15
77,8,-1716.0,Valid,noise,0,1401.6719329003245,1.0,2.0,3.562874000053853,30,-30,20
78,8,1716.0,Valid,signal,1.0,1406.0880249002948,1.0,2.0,2.7294263001531363,30,30,21
79,8,557.0,Valid,signal,1.0,1410.5201910003088,1.0,2.0,3.4792250997852534,10,10,16
80,8,-557.0,Valid,signal,0,1414.3910718001423,0.0,2.0,2.7966030000243336,10,-10,17
81,8,-1716.0,Valid,noise,0,1417.9921772002708,1.0,2.0,2.6464325999841094,30,-30,22
82,8,1716.0,Valid,signal,1.0,1421.975699600298,1.0,2.0,3.946486900094897,30,30,23
83,8,2274.0,Valid,noise,0,1426.9831043002196,1.0,2.0,3.146409699926153,40,40,22
84,8,-2274.0,Valid,noise,0,1430.871545500122,1.0,2.0,2.7457801999989897,40,-40,23
85,8,-557.0,Invalid,signal,0,1459.3513649001252,0.0,2.0,27.97266610013321,10,-10,18
86,8,-2274.0,Valid,signal,0,1464.2474858001806,0.0,3.0,3.5636285000946373,40,-40,24
87,8,-557.0,Valid,noise,0,1468.0240287003107,1.0,3.0,2.5785244000144303,10,-10,19
88,8,-557.0,Valid,noise,0,1471.4800838001538,1.0,3.0,2.396666099783033,10,-10,20
89,8,-557.0,Valid,noise,0,1475.0157016001176,1.0,4.0,3.879993599839509,10,-10,21
90,8,-1158.0,Valid,noise,0,1479.7524746002164,1.0,3.0,2.5455506001599133,20,-20,22
91,8,-1158.0,Valid,signal,1.0,1483.7196979001164,1.0,2.0,3.1962242000736296,20,-20,23
92,8,1716.0,Valid,signal,1.0,1487.7678606002592,1.0,2.0,3.046115100150928,30,30,24
93,8,-1716.0,Valid,signal,0,1491.6715058002155,0.0,2.0,2.4792674998752773,30,-30,25
94,8,-557.0,Invalid,signal,1.0,1495.368014600128,1.0,2.0,2.846521400148049,10,-10,22
95,8,-1716.0,Valid,signal,1.0,1499.7353527001103,1.0,2.0,3.2793727999087423,30,-30,26
96,8,2274.0,Valid,noise,0,1503.4795536003076,1.0,1.0,2.9293896998278797,40,40,25
97,8,1716.0,Valid,noise,0,1507.52773980028,1.0,2.0,3.246711099985987,30,30,27
98,8,1158.0,Valid,signal,1.0,1511.687980600167,1.0,2.0,2.763426900142804,20,20,24
99,8,557.0,Valid,noise,0,1515.1281346001197,1.0,2.0,2.812279100064188,10,10,23
100,8,1716.0,Valid,noise,0,1519.30330590019,1.0,2.0,2.629442400066182,30,30,28
101,8,2274.0,Valid,signal,0,1522.7272203001194,0.0,2.0,2.6458994999993593,40,40,26
102,8,-2274.0,Valid,noise,0,1526.7115518001374,1.0,2.0,2.8966179999988526,40,-40,27
103,8,1716.0,Valid,signal,1.0,1531.1274303002283,1.0,2.0,3.512617399916053,30,30,29
104,8,-1716.0,Invalid,signal,1.0,1535.479596900288,1.0,2.0,3.546529100043699,30,-30,30
105,8,-1158.0,Valid,signal,1.0,1539.527710400289,1.0,3.0,3.329526900080964,20,-20,25
106,8,-1158.0,Valid,noise,0,1544.3592456001788,1.0,2.0,3.4635827001184225,20,-20,26
107,8,-2274.0,Valid,signal,0,1548.6152194002643,0.0,2.0,3.2794706001877785,40,-40,28
108,8,-1158.0,Valid,signal,1.0,1552.567575200228,1.0,3.0,2.963410200085491,20,-20,27
109,8,1158.0,Valid,signal,1.0,1556.663845800329,1.0,2.0,2.9460857999511063,20,20,28
110,8,557.0,Invalid,signal,1.0,1561.7030331001151,1.0,2.0,3.9295405000448222,10,10,24
111,8,1716.0,Valid,noise,0,1566.007408300182,1.0,2.0,3.679527300177142,30,30,31
