trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,22,2274.0,Valid,noise,0,13.43729579995852,1.0,1.0,14.745684599969536,40,40,1
2,22,-1158.0,Valid,signal,1.0,2.7888137999689206,1.0,4.0,4.096834699972533,20,-20,1
3,22,1158.0,Valid,noise,0,2.839053999981843,1.0,4.0,4.146868399984669,20,20,2
4,22,557.0,Valid,noise,0,3.2889312999905087,1.0,2.0,4.59665090002818,10,10,1
5,22,2274.0,Invalid,noise,1.0,4.189158699999098,0.0,2.0,5.497011800005566,40,40,2
6,22,-1158.0,Invalid,signal,1.0,2.088248600019142,1.0,4.0,3.3960581999854185,20,-20,3
7,22,2274.0,Valid,signal,0,3.423116400022991,0.0,3.0,4.73086070001591,40,40,3
8,22,-1158.0,Valid,signal,1.0,2.2715099999913946,1.0,4.0,3.579470600001514,20,-20,4
9,22,-557.0,Valid,noise,1.0,1.7711350999888964,0.0,3.0,3.0790994000271894,10,-10,2
10,22,557.0,Invalid,noise,0,5.8739681000006385,1.0,2.0,7.181806199951097,10,10,3
11,22,1158.0,Valid,noise,0,3.8389815000118688,1.0,4.0,5.146823399991263,20,20,5
12,22,1158.0,Valid,signal,1.0,1.238503700005822,1.0,4.0,2.5463143000379205,20,20,6
13,22,-2274.0,Invalid,noise,0,2.121928000007756,1.0,2.0,3.4294611999648623,40,-40,4
14,22,1158.0,Valid,noise,0,2.071747799986042,1.0,4.0,3.379508199985139,20,20,7
15,22,1716.0,Valid,signal,1.0,1.58901060000062,1.0,4.0,2.8969942999538034,30,30,1
16,22,-1716.0,Valid,noise,0,3.322184900054708,1.0,3.0,4.630000500008464,30,-30,2
17,22,2274.0,Valid,signal,0,1.7883457000134513,0.0,2.0,3.096234900003765,40,40,5
18,22,-1158.0,Valid,noise,0,1.8554551000124777,1.0,3.0,3.163283500005491,20,-20,8
19,22,557.0,Valid,noise,0,3.4889957000268623,1.0,2.0,4.796716300013941,10,10,4
20,22,2274.0,Valid,noise,0,1.9881685000145808,1.0,2.0,3.2959948999923654,40,40,6
21,22,-1716.0,Valid,noise,0,1.4051010999828577,1.0,3.0,2.7129962000180967,30,-30,3
22,22,-1716.0,Valid,signal,1.0,1.3049675000365824,1.0,4.0,2.6126512000337243,30,-30,4
23,22,2274.0,Invalid,noise,0,1.7882988000055775,1.0,3.0,3.0965341000119224,40,40,7
24,22,557.0,Valid,noise,0,1.9884083999786528,1.0,3.0,3.2962446000310592,10,10,5
25,22,1158.0,Valid,noise,0,2.622152299969457,1.0,3.0,3.93001589999767,20,20,9
26,22,-557.0,Valid,noise,0,2.572450200037565,1.0,3.0,3.8802838000119664,10,-10,6
27,22,-2274.0,Valid,signal,1.0,2.238994899962563,1.0,3.0,3.5468231000122614,40,-40,8
28,22,-2274.0,Invalid,noise,0,1.9546710000140592,1.0,2.0,3.2625465000164695,40,-40,9
29,22,-2274.0,Valid,noise,0,1.4552366000134498,1.0,2.0,2.7629876999999397,40,-40,10
30,22,-557.0,Valid,noise,0,1.87172960001044,1.0,3.0,3.1794112999923527,10,-10,7
