trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,12,-1716.0,Valid,signal,1.0,912.9257841999934,1.0,3.0,7.340510599999107,30,-30,1
2,12,1716.0,Invalid,signal,1.0,918.6053053999932,1.0,3.0,2.830065799993463,30,30,2
3,12,-1716.0,Valid,signal,1.0,922.0608003999952,1.0,3.0,2.295701099996222,30,-30,3
4,12,2274.0,Valid,noise,0,925.596980599992,1.0,3.0,2.779776100011077,40,40,1
5,12,-1716.0,Valid,noise,1.0,929.1004804999976,0.0,3.0,3.129021400003694,30,-30,4
6,12,-1158.0,Valid,signal,1.0,933.1808011999964,1.0,3.0,2.2294075999961933,20,-20,1
7,12,-557.0,Valid,noise,0,937.8691778999928,1.0,3.0,3.679460500003188,10,-10,1
8,12,-1716.0,Valid,signal,1.0,941.0852499999892,1.0,3.0,2.312692400009837,30,-30,5
9,12,557.0,Valid,signal,0,944.493533899993,0.0,1.0,5.013735200001975,10,10,2
10,12,-1716.0,Invalid,noise,0,950.9724791999906,1.0,3.0,3.4297090000036405,30,-30,6
11,12,-557.0,Valid,signal,1.0,957.869047299988,1.0,3.0,5.297526399997878,10,-10,3
12,12,-1716.0,Valid,signal,1.0,966.9566388999956,1.0,3.0,8.114274500010652,30,-30,7
13,12,1716.0,Valid,noise,0,974.5254172999994,1.0,3.0,6.915063599997666,30,30,8
14,12,1716.0,Valid,noise,0,978.3326923999994,1.0,3.0,2.3453117000026396,30,30,9
15,12,-2274.0,Invalid,noise,1.0,982.157311899995,0.0,3.0,2.7290780000039376,40,-40,2
16,12,557.0,Valid,noise,0,987.1647582000004,1.0,3.0,4.163425199993071,10,10,4
17,12,-2274.0,Invalid,noise,1.0,990.8776209999924,0.0,3.0,2.5459715999895707,40,-40,3
18,12,-1158.0,Valid,noise,1.0,994.12522419999,0.0,3.0,2.212597200006712,20,-20,2
19,12,1716.0,Valid,signal,1.0,997.4376798999874,1.0,3.0,2.41281579999486,30,30,10
20,12,-2274.0,Valid,noise,1.0,1002.684574599989,0.0,3.0,4.163581300002988,40,-40,4
21,12,1716.0,Valid,signal,1.0,1005.8530355999974,1.0,3.0,2.145758600003319,30,30,11
22,12,557.0,Valid,signal,1.0,1008.9415948999958,1.0,3.0,2.012631000005058,10,10,5
23,12,2274.0,Valid,signal,1.0,1012.1407351999952,1.0,3.0,2.3127685000072233,40,40,5
24,12,2274.0,Valid,signal,0,1015.7089272000012,0.0,1.0,3.713733199998387,40,40,6
25,12,2274.0,Valid,signal,1.0,1020.7329629999876,1.0,2.0,3.295668000006117,40,40,7
26,12,-557.0,Valid,signal,1.0,1024.6858489000006,1.0,3.0,2.9132296000025235,10,-10,6
27,12,-1158.0,Valid,signal,1.0,1028.2527626999945,1.0,3.0,2.1786254000035115,20,-20,3
28,12,-2274.0,Valid,noise,1.0,1031.9008826999925,0.0,3.0,2.5796124000044074,40,-40,8
29,12,1716.0,Valid,noise,0,1037.069233599992,1.0,3.0,4.430635800003074,30,30,12
30,12,2274.0,Valid,noise,0,1041.0538498999958,1.0,3.0,2.845353700002306,40,40,9
31,12,557.0,Valid,noise,0,1044.7646755999883,1.0,3.0,2.512439700003597,10,10,7
32,12,-1158.0,Valid,signal,1.0,1047.9015265999917,1.0,3.0,2.1792718000069726,20,-20,4
33,12,-1716.0,Valid,signal,1.0,1051.06860459999,1.0,3.0,2.112860700013698,30,-30,13
34,12,-1716.0,Valid,signal,1.0,1054.1564538999955,1.0,3.0,2.06267279999156,30,-30,14
35,12,1158.0,Invalid,noise,0,1057.1333078999887,1.0,3.0,2.062893399997847,20,20,5
36,12,2274.0,Valid,signal,1.0,1062.4925603999873,1.0,3.0,4.379918699996779,40,40,10
37,12,1158.0,Invalid,signal,1.0,1069.3092079999917,1.0,3.0,6.030613499999163,20,20,6
38,12,2274.0,Valid,noise,0,1073.805675399999,1.0,3.0,3.4126445000001695,40,40,11
