trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,24,1158.0,Valid,noise,0,7.4004986000363715,1.0,3.0,12.613162799971178,20,20,1
2,24,1716.0,Valid,signal,1.0,4.439892399997916,1.0,3.0,5.747562300006393,30,30,1
3,24,2274.0,Valid,signal,0,3.0050666999886744,0.0,2.0,4.312974400003441,40,40,1
4,24,557.0,Valid,signal,1.0,3.2225911999703385,1.0,4.0,4.530416800000239,10,10,1
5,24,2274.0,Valid,signal,1.0,2.004689499968663,1.0,2.0,3.3127311000134796,40,40,2
6,24,1716.0,Invalid,noise,1.0,4.006486100028269,0.0,1.0,5.314192300022114,30,30,2
7,24,1158.0,Valid,noise,1.0,3.3714779000147246,0.0,2.0,4.67931039998075,20,20,2
8,24,1158.0,Invalid,signal,0,3.1855854999739677,0.0,1.0,15.218091299990192,20,20,3
9,24,2274.0,Valid,noise,0,2.1052961999666877,1.0,2.0,3.41313539998373,40,40,3
10,24,1158.0,Valid,signal,1.0,1.821624200034421,1.0,4.0,3.129330600029789,20,20,4
11,24,1158.0,Valid,noise,0,2.4724881000001915,1.0,4.0,3.7802773999865167,20,20,5
12,24,1158.0,Valid,signal,1.0,1.8887522000004535,1.0,4.0,3.196412599994801,20,20,6
13,24,-1158.0,Valid,signal,1.0,2.70511430001352,1.0,4.0,4.012888099998236,20,-20,7
14,24,-557.0,Valid,signal,1.0,1.8881524000316856,1.0,4.0,3.196127700037323,10,-10,2
15,24,-1158.0,Valid,noise,0,1.3717123999958858,1.0,4.0,2.6796024999930523,20,-20,8
16,24,-2274.0,Valid,signal,0,1.7885785000398755,0.0,1.0,3.0966377000440843,40,-40,4
17,24,1716.0,Valid,signal,1.0,1.8390952000045215,1.0,3.0,3.1468741999706253,30,30,3
18,24,557.0,Valid,signal,1.0,1.6371829999843612,1.0,4.0,2.945045400003437,10,10,3
19,24,2274.0,Valid,signal,1.0,1.6888676000526175,1.0,4.0,2.99657139996998,40,40,5
20,24,-1716.0,Valid,noise,1.0,2.422232300043106,0.0,1.0,3.729724999982864,30,-30,4
21,24,2274.0,Valid,signal,1.0,1.7716658000135794,1.0,3.0,3.079514299985022,40,40,6
22,24,2274.0,Invalid,noise,1.0,3.222301400033757,0.0,2.0,4.530147299985401,40,40,7
23,24,557.0,Valid,noise,0,2.4891199999838136,1.0,3.0,3.796785100013949,10,10,4
24,24,1158.0,Valid,signal,1.0,3.5892018000013195,1.0,3.0,4.896795899956487,20,20,9
25,24,-2274.0,Valid,noise,0,1.4384899999713523,1.0,2.0,2.745967400027439,40,-40,8
26,24,1716.0,Valid,noise,0,2.905634199967608,1.0,2.0,4.213437900005374,30,30,5
27,24,1716.0,Valid,signal,1.0,1.204463800007943,1.0,3.0,2.512327699980233,30,30,6
28,24,557.0,Valid,signal,1.0,1.455177400028333,1.0,4.0,2.7629919999744743,10,10,5
29,24,-2274.0,Valid,noise,0,1.4055484000127765,1.0,3.0,2.7131739999749698,40,-40,9
30,24,-557.0,Valid,noise,0,1.6878840000135824,1.0,2.0,2.995651100005489,10,-10,6
31,24,-2274.0,Invalid,noise,0,3.173022300004959,1.0,2.0,4.480717699974775,40,-40,10
32,24,-1716.0,Valid,signal,1.0,1.921622900001239,1.0,3.0,3.2293220999999903,30,-30,7
33,24,1716.0,Invalid,signal,1.0,2.3552509999717586,1.0,3.0,3.662882599979639,30,30,8
34,24,-1158.0,Valid,noise,0,2.222341199987568,1.0,2.0,3.530039100034628,20,-20,10
35,24,-1716.0,Valid,noise,0,4.639899500005413,1.0,2.0,5.947383699996863,30,-30,9
36,24,557.0,Invalid,noise,0,2.0380219999933615,1.0,3.0,3.3458221000037156,10,10,7
37,24,-2274.0,Valid,noise,0,2.188293000042904,1.0,3.0,3.496102500008419,40,-40,11
38,24,-1716.0,Invalid,noise,0,2.1721962000010535,1.0,2.0,3.480014399974607,30,-30,10
39,24,2274.0,Valid,signal,1.0,1.821544099948369,1.0,4.0,3.129338600032497,40,40,12
40,24,-1158.0,Invalid,signal,1.0,1.8383056000457143,1.0,2.0,3.1462333999807015,20,-20,11
41,24,-557.0,Valid,noise,0,1.6885323000024073,1.0,3.0,2.996394199959468,10,-10,8
42,24,-1716.0,Valid,signal,1.0,1.6213379999971949,1.0,4.0,2.9292279999936,30,-30,11
43,24,-1716.0,Valid,noise,0,1.8550725000095551,1.0,3.0,3.1630317000090145,30,-30,12
44,24,-557.0,Valid,noise,0,1.471505299967248,1.0,4.0,2.7795112000312656,10,-10,9
45,24,-557.0,Valid,noise,0,3.122901999973692,1.0,4.0,4.430551400000695,10,-10,10
46,24,1158.0,Valid,signal,1.0,2.0544255999848247,1.0,4.0,3.3623597000259906,20,20,12
47,24,1158.0,Invalid,signal,1.0,1.9058110000332815,1.0,4.0,3.213466099987272,20,20,13
48,24,2274.0,Valid,signal,1.0,1.4214979000389576,1.0,4.0,2.7292807000339963,40,40,13
49,24,1716.0,Valid,noise,0,1.7886770000332035,1.0,3.0,3.096585099992808,30,30,13
50,24,557.0,Valid,signal,1.0,1.4680330000119284,1.0,4.0,4.596867899992503,10,10,11
51,24,2274.0,Valid,noise,0,3.2059568999684416,1.0,3.0,4.513649299973622,40,40,14
52,24,2274.0,Valid,noise,0,1.687793100019917,1.0,3.0,2.995785999984946,40,40,15
53,24,1716.0,Valid,signal,1.0,1.6047861000406556,1.0,4.0,2.912647300050594,30,30,14
54,24,1716.0,Valid,noise,0,2.57225239998661,1.0,2.0,3.880163600028027,30,30,15
55,24,557.0,Valid,noise,0,1.704841699975077,1.0,3.0,3.012803999998141,10,10,12
56,24,-1716.0,Valid,signal,1.0,4.189408599981107,1.0,4.0,5.497366300027352,30,-30,16
57,24,-1716.0,Valid,signal,1.0,1.3221720999572426,1.0,4.0,2.6298330000136048,30,-30,17
58,24,1158.0,Valid,noise,0,1.5383387000183577,1.0,4.0,2.8457779999589548,20,20,14
59,24,2274.0,Valid,signal,0,1.0880937000038102,0.0,4.0,2.3957613999955356,40,40,16
60,24,-1158.0,Valid,signal,1.0,1.4392656000563877,1.0,4.0,2.7469473000383005,20,-20,15
61,24,-2274.0,Valid,signal,0,1.820971200009808,0.0,1.0,3.1288830999983475,40,-40,17
62,24,1158.0,Valid,signal,1.0,1.4547531999996863,1.0,4.0,2.762824800040107,20,20,16
63,24,2274.0,Valid,signal,1.0,2.155387599952519,1.0,3.0,3.4632668999838643,40,40,18
64,24,2274.0,Invalid,signal,1.0,2.839371600013692,1.0,2.0,4.147171500022523,40,40,19
65,24,-2274.0,Valid,signal,1.0,2.1385909000528045,1.0,3.0,3.4464181000366807,40,-40,20
66,24,-1158.0,Valid,noise,0,2.321972999954596,1.0,2.0,3.6297766999923624,20,-20,17
67,24,1716.0,Valid,signal,1.0,1.7550543999532238,1.0,3.0,3.0629425999941304,30,30,18
68,24,2274.0,Invalid,noise,1.0,3.5390476000029594,0.0,4.0,4.84713940002257,40,40,21
69,24,-1716.0,Valid,signal,1.0,1.5711507000378333,1.0,3.0,2.8789468000177294,30,-30,19
70,24,-1716.0,Valid,noise,1.0,1.9223214000230655,0.0,2.0,3.2299040000070818,30,-30,20
71,24,-2274.0,Valid,signal,1.0,1.3541818000376225,1.0,3.0,2.6623750000144355,40,-40,22
72,24,1158.0,Valid,signal,1.0,1.1883836000342851,1.0,3.0,2.49617700005183,20,20,18
73,24,557.0,Valid,noise,0,2.272068999998737,1.0,4.0,3.5800292000058107,10,10,13
74,24,-557.0,Valid,signal,1.0,1.272024700010661,1.0,4.0,2.579665999975987,10,-10,14
75,24,-557.0,Invalid,noise,0,2.221938400005456,1.0,4.0,3.52974919998087,10,-10,15
76,24,-1158.0,Valid,signal,1.0,1.2218141999910586,1.0,4.0,2.529590299993288,20,-20,19
77,24,1158.0,Valid,noise,0,1.4375559999607503,1.0,4.0,2.7455112000461668,20,20,20
78,24,1158.0,Invalid,noise,0,2.9229037000332028,1.0,3.0,4.230657299980521,20,20,21
79,24,557.0,Valid,noise,0,1.7712703999713997,1.0,3.0,3.07931830000598,10,10,16
80,24,-1158.0,Valid,signal,1.0,1.4220496999914758,1.0,4.0,2.729527399991639,20,-20,22
81,24,-1158.0,Valid,signal,1.0,1.6878193999873474,1.0,4.0,2.9958790999953635,20,-20,23
82,24,-2274.0,Valid,signal,1.0,1.6556400999543257,1.0,2.0,2.9636331999790855,40,-40,23
83,24,557.0,Valid,signal,1.0,1.4711979000130668,1.0,4.0,2.779067900031805,10,10,17
84,24,-1716.0,Valid,signal,1.0,1.2546168999979272,1.0,4.0,2.5624810000299476,30,-30,21
85,24,-557.0,Invalid,signal,1.0,1.9725576000055296,1.0,4.0,3.280205200018827,10,-10,18
86,24,-557.0,Valid,signal,1.0,1.5548981999745592,1.0,4.0,2.862770300009288,10,-10,19
87,24,-1716.0,Invalid,noise,0,2.3217403999879025,1.0,2.0,3.629606499976944,30,-30,22
88,24,-557.0,Valid,signal,1.0,1.6890611000126228,1.0,4.0,2.9966773000196554,10,-10,20
89,24,1158.0,Valid,noise,0,1.3877814000006763,1.0,3.0,2.695538600033615,20,20,24
90,24,2274.0,Valid,noise,0,3.889976500009652,1.0,3.0,5.197759400005452,40,40,24
91,24,1716.0,Valid,noise,0,2.021612500015181,1.0,3.0,3.329665199969895,30,30,23
92,24,-2274.0,Valid,noise,0,1.5879724000114948,1.0,3.0,2.8957002999959514,40,-40,25
93,24,-557.0,Valid,noise,0,1.1048631999874488,1.0,3.0,2.4126108999480493,10,-10,21
94,24,1716.0,Valid,noise,0,1.337808899988886,1.0,3.0,2.645734799967613,30,30,24
95,24,1716.0,Valid,signal,1.0,1.1558060999959707,1.0,4.0,2.46343209996121,30,30,25
96,24,-1158.0,Valid,signal,1.0,2.238647799997125,1.0,4.0,3.5466427999781445,20,-20,25
97,24,-557.0,Valid,signal,1.0,1.4043609999935145,1.0,4.0,2.712189399986528,10,-10,22
98,24,1716.0,Valid,noise,0,1.504723499994725,1.0,2.0,2.8126501999795437,30,30,26
99,24,-1716.0,Valid,noise,1.0,4.239129599998705,0.0,2.0,5.546995799988508,30,-30,27
100,24,-2274.0,Valid,signal,1.0,1.672462799993809,1.0,2.0,2.980115200043656,40,-40,26
101,24,-1158.0,Valid,noise,0,2.472231700026896,1.0,1.0,3.7800377999665216,20,-20,26
102,24,1716.0,Valid,noise,0,1.6711667000199668,1.0,2.0,2.9789731000200845,30,30,28
103,24,-557.0,Valid,noise,0,7.007144400035031,1.0,3.0,8.314855400007218,10,-10,23
104,24,-1716.0,Valid,signal,1.0,2.45502569997916,1.0,3.0,3.7628490999923088,30,-30,29
105,24,1158.0,Valid,signal,1.0,1.8062177000101656,1.0,3.0,3.1137734000221826,20,20,27
106,24,557.0,Valid,noise,0,2.387988900009077,1.0,4.0,3.6957177000003862,10,10,24
107,24,-2274.0,Valid,noise,0,1.354836400016211,1.0,2.0,2.662894100008998,40,-40,27
108,24,-1716.0,Valid,noise,0,1.4220586000010371,1.0,3.0,2.729690500011202,30,-30,30
109,24,2274.0,Valid,signal,0,1.3221222999854945,0.0,3.0,2.6298971999785863,40,40,28
110,24,1158.0,Invalid,noise,0,2.204304000013508,1.0,2.0,3.512396699981764,20,20,28
111,24,1716.0,Valid,signal,1.0,1.288126600033138,1.0,4.0,2.595993900031317,30,30,31
112,24,-1158.0,Valid,noise,1.0,2.639428799971938,0.0,1.0,3.94703959999606,20,-20,29
113,24,557.0,Valid,noise,0,1.7378262999700382,1.0,4.0,3.0458532000193372,10,10,25
114,24,-1158.0,Invalid,noise,0,1.821968799980823,1.0,3.0,3.129829499986954,20,-20,30
115,24,-557.0,Valid,signal,1.0,1.1378158999723382,1.0,4.0,2.445764100004453,10,-10,26
116,24,557.0,Invalid,signal,1.0,2.005182099994272,1.0,4.0,3.312999200017657,10,10,27
117,24,-1158.0,Valid,noise,0,1.9385807999642568,1.0,3.0,3.2465183999738656,20,-20,31
118,24,557.0,Valid,signal,1.0,1.1216844999580644,1.0,4.0,2.429454799974337,10,10,28
119,24,557.0,Invalid,noise,0,1.7880176000180654,1.0,3.0,3.095999499957543,10,10,29
120,24,-1158.0,Valid,signal,1.0,1.8721632999950089,1.0,4.0,3.179954799998086,20,-20,32
121,24,-557.0,Valid,signal,1.0,1.021583699970506,1.0,4.0,2.3295067000435665,10,-10,30
122,24,1716.0,Invalid,signal,1.0,1.8386202999972736,1.0,4.0,3.1465008999803104,30,30,32
123,24,-1716.0,Valid,noise,0,2.1714591999771073,1.0,3.0,3.479507800017018,30,-30,33
124,24,-557.0,Invalid,noise,0,1.5550535999936983,1.0,3.0,2.862920099985786,10,-10,31
125,24,2274.0,Valid,noise,0,1.546162299986463,1.0,3.0,4.664287899970077,40,40,29
126,24,-1158.0,Invalid,noise,0,1.8044770999695177,1.0,3.0,3.112166100007016,20,-20,33
127,24,1158.0,Valid,noise,0,1.5719382999814115,1.0,3.0,2.8797128000296652,20,20,34
128,24,-2274.0,Valid,signal,0,1.4052879000082612,0.0,3.0,2.713039199996274,40,-40,30
129,24,-1716.0,Invalid,signal,1.0,1.738861599995289,1.0,4.0,3.046463499951642,30,-30,34
130,24,1158.0,Valid,noise,0,1.6213751999894157,1.0,3.0,2.9291332000284456,20,20,35
131,24,-1158.0,Valid,noise,0,3.18886500003282,1.0,3.0,4.496816300030332,20,-20,36
132,24,-557.0,Invalid,signal,1.0,1.354885699984152,1.0,4.0,2.662875299982261,10,-10,32
133,24,557.0,Valid,signal,1.0,1.3713058999856005,1.0,4.0,2.6793469000258483,10,10,33
134,24,-557.0,Valid,noise,0,1.588671899982728,1.0,3.0,2.896543800015934,10,-10,34
135,24,2274.0,Valid,noise,1.0,1.538040599960368,0.0,2.0,2.8459509999956936,40,40,31
136,24,-1716.0,Valid,signal,1.0,1.721780299965758,1.0,3.0,3.0296392999589443,30,-30,35
137,24,-1716.0,Valid,noise,0,2.705406600027345,1.0,4.0,4.0134657000307925,30,-30,36
138,24,-2274.0,Invalid,signal,1.0,1.8890213000122456,1.0,3.0,3.196602999989409,40,-40,32
139,24,-2274.0,Valid,signal,0,1.888158600020688,0.0,3.0,3.1959592000348493,40,-40,33
140,24,557.0,Valid,signal,1.0,2.0222963000414893,1.0,4.0,3.3302190999966115,10,10,35
141,24,-2274.0,Valid,signal,0,2.5719559999997728,0.0,2.0,3.87944609997794,40,-40,34
142,24,557.0,Valid,signal,1.0,2.188752500049304,1.0,4.0,3.4963338000234216,10,10,36
143,24,-2274.0,Invalid,noise,1.0,2.0049130999832414,0.0,3.0,3.312738700013142,40,-40,35
144,24,557.0,Invalid,signal,0,3.2227815000223927,0.0,1.0,4.530464300012682,10,10,37
