trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,31,1158.0,Invalid,signal,1.0,7.574708600062877,1.0,2.0,12.057683899998665,20,20,1
2,31,-1716.0,Invalid,signal,0,2.4948714000638574,0.0,3.0,8.348154800012708,30,-30,1
3,31,1716.0,Invalid,signal,0,2.772257899865508,0.0,2.0,4.079980899812654,30,30,2
4,31,2274.0,Valid,signal,0,2.286578099941835,0.0,1.0,5.780199200147763,40,40,1
5,31,-1716.0,Valid,noise,0,1.6387618998996911,1.0,3.0,2.946656099986285,30,-30,3
6,31,-2274.0,Invalid,signal,0,4.555409299908206,0.0,1.0,5.863284299848601,40,-40,2
7,31,557.0,Valid,signal,1.0,2.3380883999634534,1.0,4.0,3.6460121001582593,10,10,1
8,31,557.0,Valid,noise,0,1.6399756998289376,1.0,4.0,8.331932100001723,10,10,2
9,31,1716.0,Invalid,noise,0,4.372712700162083,1.0,2.0,5.680748600047082,30,30,4
10,31,1158.0,Valid,signal,1.0,1.9883191001135856,1.0,3.0,3.296339000109583,20,20,2
11,31,-1716.0,Valid,signal,0,1.8390140999108553,0.0,4.0,3.1467673999723047,30,-30,5
12,31,-1158.0,Valid,noise,0,1.5182922999374568,1.0,4.0,4.6134030998218805,20,-20,3
13,31,-557.0,Valid,noise,0,1.3743744001258165,1.0,4.0,13.683131900150329,10,-10,3
14,31,1158.0,Valid,noise,0,1.3382242999505252,1.0,4.0,2.6460040998645127,20,20,4
15,31,-2274.0,Invalid,noise,0,2.705583600094542,1.0,4.0,18.785622199997302,40,-40,3
16,31,-2274.0,Valid,signal,1.0,2.3548904999624938,1.0,2.0,3.662755500059575,40,-40,4
17,31,-557.0,Valid,noise,0,2.3315902000758797,1.0,4.0,8.448190599912778,10,-10,4
18,31,-1716.0,Valid,noise,0,1.338168099988252,1.0,4.0,2.646164400037378,30,-30,6
19,31,1158.0,Valid,signal,1.0,1.471412800019607,1.0,4.0,2.77956679998897,20,20,5
20,31,-557.0,Valid,signal,1.0,1.5047200999688355,1.0,4.0,2.812934899935499,10,-10,5
21,31,-1716.0,Valid,noise,0,1.1719005999621004,1.0,4.0,2.479494400089606,30,-30,7
22,31,-1716.0,Invalid,signal,0,1.1050545000471177,0.0,4.0,2.4127931999973953,30,-30,8
23,31,-1716.0,Valid,noise,0,1.5181861000601202,1.0,4.0,9.415131599875169,30,-30,9
24,31,-1158.0,Valid,signal,1.0,1.2703696000389757,1.0,4.0,2.5785135000478476,20,-20,6
25,31,557.0,Valid,signal,1.0,0.9889095998369156,1.0,4.0,2.2967689998913556,10,10,6
26,31,1716.0,Valid,signal,1.0,1.1041452002245933,1.0,4.0,2.4119317000731826,30,30,10
27,31,-557.0,Valid,noise,1.0,1.2546331998892128,0.0,4.0,2.562617299845442,10,-10,7
28,31,2274.0,Valid,noise,1.0,2.6728135000448674,0.0,2.0,8.19878609990701,40,40,5
29,31,1716.0,Valid,noise,0,1.4382243000436574,1.0,4.0,2.746059900149703,30,30,11
30,31,-1716.0,Valid,noise,0,1.005115200066939,1.0,4.0,2.3126948999706656,30,-30,12
31,31,1716.0,Valid,noise,0,0.9215118000283836,1.0,4.0,2.2292339000850916,30,30,13
32,31,-1158.0,Invalid,noise,0,2.3485377999022603,1.0,2.0,13.96638790005818,20,-20,7
33,31,-1716.0,Valid,signal,0,2.038292200071737,0.0,2.0,3.346383099909872,30,-30,14
34,31,-1158.0,Valid,signal,1.0,1.071421300061047,1.0,3.0,2.3793005999177694,20,-20,8
35,31,-1158.0,Invalid,noise,1.0,2.871912800008431,0.0,4.0,4.180129099870101,20,-20,9
36,31,557.0,Valid,noise,0,1.0878435000777245,1.0,4.0,2.39594620000571,10,10,8
37,31,1716.0,Valid,noise,0,1.1255524000152946,1.0,4.0,4.296973899938166,30,30,15
38,31,-557.0,Valid,signal,1.0,2.662533499998972,1.0,4.0,5.71421099989675,10,-10,9
39,31,557.0,Invalid,noise,0,1.321587699931115,1.0,4.0,2.6295071998611093,10,10,10
40,31,-557.0,Invalid,signal,1.0,1.321222099941224,1.0,4.0,2.629018400097266,10,-10,11
41,31,557.0,Valid,signal,1.0,1.088057899847627,1.0,4.0,2.3956762000452727,10,10,12
42,31,557.0,Valid,signal,1.0,1.2214079999830574,1.0,4.0,2.5292860998306423,10,10,13
43,31,557.0,Valid,noise,0,0.971323100151494,1.0,4.0,2.2789860998746008,10,10,14
44,31,1716.0,Valid,signal,1.0,1.0216208000201732,1.0,4.0,2.329103299882263,30,30,16
45,31,-557.0,Invalid,noise,0,1.2028020001016555,1.0,4.0,7.014396799961105,10,-10,15
46,31,1716.0,Valid,signal,0,1.1543034000787884,0.0,4.0,2.4622261999174953,30,30,17
47,31,-557.0,Valid,signal,1.0,1.104338499950245,1.0,4.0,2.4124276998918504,10,-10,16
48,31,-1158.0,Valid,signal,1.0,0.8885682998225093,1.0,4.0,2.1961977002210915,20,-20,10
49,31,-2274.0,Valid,signal,1.0,2.4503853002097458,1.0,3.0,6.763815300073475,40,-40,6
50,31,-1716.0,Valid,noise,0,1.1387836001813412,1.0,4.0,2.4464728001039475,30,-30,18
51,31,2274.0,Valid,signal,0,1.1549053001217544,0.0,4.0,2.4625495998188853,40,40,7
52,31,-1716.0,Invalid,noise,0,0.854976300150156,1.0,4.0,2.1627321999985725,30,-30,19
53,31,-1158.0,Valid,signal,1.0,1.0875545998569578,1.0,4.0,2.395193099975586,20,-20,11
54,31,2274.0,Valid,noise,1.0,2.2054596999660134,0.0,4.0,3.5132341999560595,40,40,8
55,31,-2274.0,Valid,signal,0,1.1214552999008447,0.0,4.0,2.4292204999364913,40,-40,9
56,31,557.0,Valid,signal,1.0,1.4577207998372614,1.0,4.0,4.479655399918556,10,10,17
57,31,-557.0,Valid,noise,0,0.9378464999608696,1.0,4.0,2.2456173000391573,10,-10,18
58,31,-1158.0,Valid,noise,0,1.8218078000936655,1.0,4.0,3.1296316999942064,20,-20,12
59,31,1158.0,Valid,noise,0,1.0885614999569952,1.0,4.0,2.396332199918106,20,20,13
60,31,557.0,Invalid,noise,0,1.733881900086999,1.0,4.0,8.130885299993679,10,10,19
61,31,2274.0,Valid,noise,0,1.7554635000415146,1.0,4.0,3.063487100182101,40,40,10
62,31,-1716.0,Invalid,noise,0,1.8940711999312043,1.0,3.0,14.31690980005078,30,-30,20
63,31,-1716.0,Valid,signal,0,0.9711611999664456,0.0,3.0,2.2791317999362946,30,-30,21
64,31,557.0,Valid,noise,0,0.7553566000424325,1.0,3.0,2.06299789994955,10,10,20
65,31,-1158.0,Valid,noise,0,2.237488000188023,1.0,4.0,3.545416299952194,20,-20,14
66,31,-2274.0,Invalid,signal,0,1.071871600113809,0.0,4.0,2.3797365999780595,40,-40,11
67,31,2274.0,Valid,noise,0,1.1876605001743883,1.0,4.0,2.4955742000602186,40,40,12
68,31,-1158.0,Valid,signal,1.0,1.0968607000540942,1.0,4.0,5.464229699922726,20,-20,15
69,31,-1716.0,Valid,signal,0,2.534165699966252,0.0,3.0,9.614964599953964,30,-30,22
70,31,-1158.0,Valid,signal,1.0,2.1254534998442978,1.0,4.0,19.385928200092167,20,-20,16
71,31,-2274.0,Valid,signal,0,1.0207536998204887,0.0,4.0,2.328584099886939,40,-40,13
72,31,-1158.0,Valid,signal,1.0,1.6990424999967215,1.0,3.0,12.817762600025162,20,-20,17
73,31,557.0,Valid,noise,0,1.2385264001786709,1.0,3.0,2.5460705999284983,10,10,21
74,31,1158.0,Valid,noise,0,3.0044765998609364,1.0,2.0,4.312519600149244,20,20,18
75,31,-1716.0,Valid,noise,0,1.2048943999689072,1.0,4.0,2.512614599894732,30,-30,23
76,31,1158.0,Valid,signal,1.0,1.3214451998937875,1.0,4.0,2.629488600185141,20,20,19
77,31,2274.0,Invalid,signal,0,2.3946418000850827,0.0,4.0,10.949074199888855,40,40,14
78,31,2274.0,Valid,signal,0,2.0980590998660773,0.0,4.0,7.481278399936855,40,40,15
79,31,1716.0,Valid,signal,0,1.8509506001137197,0.0,4.0,7.148125300183892,30,30,24
80,31,-2274.0,Valid,noise,0,1.5220786998979747,1.0,4.0,2.8298796000890434,40,-40,16
81,31,1158.0,Invalid,noise,1.0,1.6652414000127465,0.0,2.0,4.846231300150976,20,20,20
82,31,-2274.0,Valid,signal,0,2.4394523999653757,0.0,3.0,3.7471525999717414,40,-40,17
83,31,1158.0,Valid,noise,0,1.6706858000252396,1.0,3.0,2.97881369991228,20,20,21
84,31,557.0,Valid,noise,0,1.972438600147143,1.0,3.0,3.280234700068831,10,10,22
