trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,10,2274.0,Valid,noise,0,880.2542227001395,1.0,2.0,12.97901270003058,40,40,1
2,10,-1158.0,Valid,noise,0,893.469903100282,1.0,3.0,6.931240499950945,20,-20,1
3,10,-557.0,Valid,noise,1.0,903.8383175001944,0.0,2.0,5.847702300176024,10,-10,1
4,10,2274.0,Valid,noise,0,909.4856042002792,1.0,1.0,3.9467055001296103,40,40,2
5,10,-1158.0,Valid,signal,1.0,913.5499365001452,1.0,4.0,3.1791471000760794,20,-20,2
6,10,-557.0,Valid,noise,0,917.9666519002058,1.0,2.0,4.664208699949086,10,-10,2
7,10,2274.0,Valid,signal,0,924.0300785002764,0.0,3.0,3.379105200059712,40,40,3
8,10,-1158.0,Valid,noise,0,927.6148942001164,1.0,2.0,2.746292600175366,20,-20,3
9,10,1716.0,Valid,noise,0,931.309573700186,1.0,2.0,5.030360999982804,30,30,1
10,10,1716.0,Valid,noise,0,937.342581700068,1.0,2.0,2.6293933000415564,30,30,2
11,10,-1716.0,Invalid,noise,0,940.974834000226,1.0,3.0,2.8627440999262035,30,-30,3
12,10,-557.0,Valid,noise,0,944.7026512001175,1.0,2.0,4.447125899838284,10,-10,3
13,10,557.0,Valid,signal,0,950.2866723001936,0.0,2.0,2.696053400170058,10,10,4
14,10,1158.0,Invalid,signal,1.0,954.0459087002092,1.0,4.0,3.063045899849385,20,20,4
15,10,557.0,Valid,noise,0,957.8857852001674,1.0,2.0,4.080355699872598,10,10,5
16,10,-1158.0,Invalid,signal,1.0,963.1342333001083,1.0,4.0,2.6458264000248164,20,-20,5
17,10,-1158.0,Valid,noise,0,966.8460889002308,1.0,3.0,3.8299906000029296,20,-20,6
18,10,-1716.0,Valid,noise,0,972.7017451000866,1.0,2.0,5.697504899930209,30,-30,4
19,10,-557.0,Valid,signal,1.0,978.7021498002578,1.0,3.0,3.546545200049877,10,-10,6
20,10,-1716.0,Invalid,noise,0,982.7180940001272,1.0,2.0,6.147897799964994,30,-30,5
21,10,2274.0,Invalid,noise,0,990.3023275001906,1.0,1.0,4.129636300029233,40,40,4
22,10,557.0,Valid,noise,0,995.6142657001036,1.0,2.0,4.430702399928123,10,10,7
