trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,20,-1158.0,Valid,noise,0,8.026702099989052,1.0,1.0,43.8573699999979,20,-20,1
2,20,2274.0,Valid,signal,0,4.823168899994926,0.0,3.0,6.130875299990294,40,40,1
3,20,-2274.0,Valid,noise,0,2.504704600010882,1.0,2.0,3.8128074999985984,40,-40,2
4,20,2274.0,Invalid,noise,0,3.5398317000071984,1.0,1.0,4.847472199995536,40,40,3
5,20,2274.0,Invalid,signal,0,2.322005199996056,0.0,3.0,3.629518700006883,40,40,4
6,20,-1716.0,Valid,signal,1.0,1.6384956999972928,1.0,4.0,2.946012000000337,30,-30,1
7,20,1158.0,Invalid,noise,0,2.171792400011327,1.0,2.0,3.479699299990898,20,20,2
8,20,1716.0,Invalid,signal,1.0,1.9382995000050869,1.0,4.0,3.245937599989702,30,30,2
9,20,-2274.0,Valid,signal,1.0,2.905735399996047,1.0,2.0,4.213228799999342,40,-40,5
10,20,-2274.0,Valid,noise,1.0,3.1894214999920223,0.0,1.0,4.496927300002426,40,-40,6
11,20,1716.0,Valid,noise,0,1.854211400001077,1.0,1.0,3.162282299992512,30,30,3
12,20,-1716.0,Valid,signal,0,2.605155500001274,0.0,1.0,3.913091099995654,30,-30,4
13,20,-557.0,Valid,noise,0,2.6223634999914793,1.0,4.0,3.930170400009956,10,-10,1
14,20,-1158.0,Valid,signal,1.0,4.822902699990664,1.0,2.0,6.130881499993848,20,-20,3
15,20,557.0,Valid,noise,0,5.367573999988963,1.0,4.0,9.582050199998775,10,10,2
16,20,-1716.0,Valid,noise,0,2.182876499995473,1.0,3.0,6.1141471000009915,30,-30,5
17,20,1158.0,Valid,noise,0,3.605019499998889,1.0,4.0,4.91304929999751,20,20,4
18,20,-2274.0,Valid,signal,0,2.6876361000031466,0.0,1.0,7.9815737000026274,40,-40,7
19,20,-1716.0,Valid,noise,0,2.9892614999989746,1.0,1.0,4.297365400008857,30,-30,6
20,20,-2274.0,Valid,noise,0,2.6713271999906283,1.0,2.0,3.979276199999731,40,-40,8
21,20,-1716.0,Valid,signal,1.0,1.9719685000018217,1.0,3.0,3.279679200000828,30,-30,7
22,20,-1716.0,Invalid,noise,0,3.3221864999941317,1.0,2.0,4.629887400005828,30,-30,8
23,20,1716.0,Invalid,noise,1.0,2.171379999999772,0.0,2.0,3.4793789999966975,30,30,9
24,20,-1158.0,Valid,noise,0,2.0893622000003234,1.0,2.0,3.396777600006317,20,-20,5
25,20,-1158.0,Valid,noise,1.0,2.792656799996621,0.0,2.0,6.5640639000048395,20,-20,6
26,20,-557.0,Valid,noise,0,2.3879091999988304,1.0,4.0,6.047171099999105,10,-10,3
27,20,-557.0,Valid,signal,1.0,2.7223491000040667,1.0,2.0,4.030121200004942,10,-10,4
28,20,-1716.0,Invalid,noise,0,3.205672099997173,1.0,1.0,4.513472700011334,30,-30,10
29,20,-557.0,Invalid,signal,1.0,2.2057484999968437,1.0,4.0,3.5136570000031497,10,-10,5
30,20,-2274.0,Valid,noise,0,3.3549358999880496,1.0,1.0,4.662900499999523,40,-40,9
31,20,1158.0,Valid,signal,1.0,3.3562249000096926,1.0,4.0,4.663833900005557,20,20,7
32,20,1716.0,Valid,noise,1.0,5.089812200007145,0.0,1.0,6.3975840999919455,30,30,11
33,20,-2274.0,Valid,noise,0,3.788373600007617,1.0,3.0,5.09634420000657,40,-40,10
34,20,-1158.0,Valid,signal,1.0,1.321767400004319,1.0,4.0,2.6297474000020884,20,-20,8
35,20,557.0,Valid,signal,1.0,1.272375500004273,1.0,3.0,2.5797957999893697,10,10,6
36,20,1158.0,Invalid,noise,0,4.605853100001696,1.0,2.0,5.913499799993588,20,20,9
37,20,-2274.0,Valid,signal,0,3.9388796999992337,0.0,3.0,5.246662399993511,40,-40,11
38,20,557.0,Valid,noise,0,3.4726034000050277,1.0,4.0,4.7802938999957405,10,10,7
39,20,557.0,Valid,signal,1.0,2.463468499990995,1.0,4.0,14.01670279999962,10,10,8
40,20,-1716.0,Invalid,signal,1.0,3.0386831000068923,1.0,2.0,4.346504700006335,30,-30,12
41,20,1716.0,Valid,signal,1.0,1.4050573000131408,1.0,3.0,2.7127507999975933,30,30,13
42,20,557.0,Valid,signal,1.0,1.8816578999976628,1.0,4.0,7.598278699995717,10,10,9
43,20,2274.0,Valid,noise,0,2.454843500003335,1.0,1.0,3.762904300005175,40,40,12
44,20,557.0,Valid,noise,1.0,2.405165499993018,0.0,4.0,3.7131345000088913,10,10,10
45,20,-1158.0,Valid,noise,0,1.88876750000054,1.0,2.0,3.1964930999965873,20,-20,10
46,20,1716.0,Valid,signal,1.0,1.4880496999976458,1.0,3.0,2.7957785000035074,30,30,14
47,20,-1158.0,Invalid,signal,1.0,2.1054835000104504,1.0,3.0,3.413296500002616,20,-20,11
48,20,-557.0,Valid,signal,1.0,1.1713512999995146,1.0,4.0,2.4792258000088623,10,-10,11
49,20,1716.0,Valid,signal,1.0,1.471696200009319,1.0,4.0,2.7795283000014024,30,30,15
50,20,557.0,Valid,signal,1.0,1.2048243999888657,1.0,4.0,2.512783700003638,10,10,12
51,20,-1158.0,Valid,noise,0,2.10514489999332,1.0,1.0,3.412770200011437,20,-20,12
52,20,2274.0,Valid,noise,1.0,1.5548525000049267,0.0,2.0,2.8625431999971624,40,40,13
53,20,-2274.0,Valid,noise,1.0,1.871801300003426,0.0,2.0,3.1796255000081146,40,-40,14
54,20,2274.0,Valid,noise,0,2.15658500000427,1.0,2.0,11.38265450000472,40,40,15
55,20,2274.0,Valid,noise,0,1.5045702000061285,1.0,2.0,2.812561700004153,40,40,16
56,20,-1716.0,Valid,noise,0,1.6720927999995183,1.0,2.0,2.980057499997202,30,-30,16
57,20,557.0,Invalid,noise,0,4.3056719999876805,1.0,3.0,5.6136484000016935,10,10,13
58,20,-1716.0,Valid,signal,1.0,2.1926084000006085,1.0,2.0,12.400092999989283,30,-30,17
59,20,-1158.0,Valid,noise,0,29.832861700007925,1.0,2.0,31.14065089999349,20,-20,13
60,20,1716.0,Invalid,noise,1.0,3.2050702999986243,0.0,1.0,4.513175400003092,30,30,18
61,20,557.0,Valid,noise,0,2.4893120000051567,1.0,4.0,3.7969516000011936,10,10,14
62,20,1716.0,Valid,noise,0,2.8887185999919893,1.0,4.0,4.196448899994721,30,30,19
63,20,-1158.0,Invalid,signal,1.0,1.3712832000019262,1.0,4.0,2.679063000003225,20,-20,14
64,20,557.0,Invalid,noise,0,2.121447600002284,1.0,2.0,3.4294995999953244,10,10,15
65,20,-2274.0,Valid,signal,0,1.8719508000067435,0.0,3.0,3.179646299991873,40,-40,17
66,20,-557.0,Valid,noise,0,1.004845400006161,1.0,3.0,2.3126934000028996,10,-10,16
67,20,2274.0,Valid,noise,0,1.1053499999979977,1.0,3.0,2.412902899988694,40,40,18
68,20,2274.0,Valid,noise,0,1.5053371000103652,1.0,2.0,2.8130046000005677,40,40,19
69,20,-1716.0,Valid,noise,0,1.4707698999991408,1.0,1.0,2.778941600001417,30,-30,20
70,20,-1716.0,Valid,noise,0,1.5883530999999491,1.0,3.0,2.8962444000062533,30,-30,21
71,20,557.0,Invalid,signal,1.0,1.8218720000004396,1.0,4.0,3.129688999993959,10,10,17
72,20,1158.0,Valid,noise,1.0,1.6557136999908837,0.0,1.0,2.96333610000147,20,20,15
73,20,557.0,Invalid,signal,1.0,1.590871500011417,1.0,4.0,4.796879000001354,10,10,18
74,20,-2274.0,Valid,noise,0,2.538649099995382,1.0,1.0,3.846409499994479,40,-40,20
75,20,1158.0,Invalid,signal,1.0,2.154863600007957,1.0,4.0,3.462657399999443,20,20,16
76,20,-557.0,Valid,noise,0,1.6883054000063566,1.0,3.0,2.9961921999929473,10,-10,19
77,20,1716.0,Valid,signal,1.0,1.805588400005945,1.0,4.0,3.113318600007915,30,30,22
78,20,2274.0,Valid,signal,1.0,2.238193900004262,1.0,2.0,3.545972099993378,40,40,21
79,20,-2274.0,Valid,noise,0,1.6388272999902256,1.0,2.0,2.946540400007507,40,-40,22
80,20,-1158.0,Valid,noise,1.0,2.121554400000605,0.0,3.0,3.429351899991161,20,-20,17
81,20,-1158.0,Valid,signal,1.0,1.8052148999995552,1.0,4.0,3.112895300000673,20,-20,18
82,20,-557.0,Valid,signal,1.0,1.7224470999935877,1.0,4.0,3.030168199999025,10,-10,20
83,20,-1158.0,Valid,noise,0,4.722339100000681,1.0,2.0,6.030139099995722,20,-20,19
84,20,2274.0,Valid,noise,1.0,1.7720858999964548,0.0,2.0,3.079847200002405,40,40,23
85,20,1158.0,Valid,signal,1.0,1.329794099990977,1.0,3.0,5.096612399996957,20,20,20
86,20,-557.0,Valid,signal,1.0,1.054745900008129,1.0,4.0,2.3625795999978436,10,-10,21
87,20,2274.0,Valid,noise,0,2.380113400009577,1.0,2.0,6.163715599992429,40,40,24
88,20,-2274.0,Valid,signal,1.0,1.270472600008361,1.0,3.0,2.5784160000039265,40,-40,25
89,20,1158.0,Valid,noise,1.0,1.9892476000095485,0.0,3.0,3.296860500006005,20,20,21
90,20,-2274.0,Valid,signal,0,2.4715813000075286,0.0,2.0,3.779321299996809,40,-40,26
91,20,-1716.0,Valid,noise,0,2.3226840999996057,1.0,2.0,3.63027759999386,30,-30,23
92,20,1158.0,Valid,noise,0,1.287416499995743,1.0,2.0,2.595363100001123,20,20,22
93,20,557.0,Valid,signal,1.0,1.755506899993634,1.0,4.0,3.06323159999738,10,10,22
94,20,1158.0,Valid,noise,1.0,1.621412099993904,0.0,3.0,2.929245599996648,20,20,23
95,20,-2274.0,Valid,signal,1.0,2.5720562000060454,1.0,2.0,3.8799539000028744,40,-40,27
96,20,1716.0,Valid,noise,1.0,2.5395764999993844,0.0,1.0,3.847227499994915,30,30,24
97,20,1716.0,Valid,noise,0,3.42199139999866,1.0,2.0,4.729762499991921,30,30,25
98,20,-557.0,Valid,signal,1.0,1.4387810000043828,1.0,4.0,2.746596699988004,10,-10,23
99,20,2274.0,Valid,signal,1.0,2.040507700003218,1.0,4.0,7.464113099995302,40,40,28
100,20,1158.0,Valid,signal,1.0,1.7380971000093268,1.0,3.0,3.0460543999943184,20,20,24
101,20,-1716.0,Valid,noise,0,2.6223259000107646,1.0,3.0,3.929987099996651,30,-30,26
102,20,557.0,Valid,signal,1.0,2.522345300007146,1.0,3.0,3.829969600003096,10,10,24
103,20,-557.0,Valid,signal,1.0,0.9051155000051948,1.0,3.0,2.212797700005467,10,-10,25
104,20,-2274.0,Invalid,signal,0,2.0541590000066208,0.0,3.0,3.362097299992456,40,-40,29
105,20,-1716.0,Invalid,signal,1.0,1.1886394000030125,1.0,4.0,2.4963827000028687,30,-30,27
106,20,-557.0,Invalid,signal,1.0,1.3878812000039034,1.0,4.0,2.6958716999943135,10,-10,26
107,20,2274.0,Valid,signal,1.0,2.9730813000060152,1.0,2.0,4.280727699995623,40,40,30
108,20,557.0,Valid,signal,1.0,1.3552039999922272,1.0,4.0,2.6629223999916576,10,10,27
109,20,-557.0,Valid,noise,0,1.7874274999921909,1.0,4.0,3.09547859999293,10,-10,28
110,20,-1158.0,Valid,noise,0,1.3558625000005122,1.0,2.0,2.663726200000383,20,-20,25
111,20,-2274.0,Valid,signal,1.0,3.322230899997521,1.0,1.0,8.764842600008706,40,-40,31
112,20,1158.0,Valid,noise,0,1.8210044000006749,1.0,2.0,3.128836299991235,20,20,26
113,20,557.0,Valid,noise,0,2.00595429999521,1.0,3.0,3.3136667999933707,10,10,29
114,20,-1716.0,Valid,signal,1.0,1.3745107000140706,1.0,3.0,4.930388100008713,30,-30,28
115,20,-2274.0,Invalid,noise,0,5.039053799991962,1.0,2.0,6.34679049999977,40,-40,32
116,20,2274.0,Valid,signal,0,1.5887166000029538,0.0,2.0,2.8964664000086486,40,40,33
117,20,1158.0,Valid,signal,1.0,1.4882188999908976,1.0,3.0,2.7958926999999676,20,20,27
118,20,-1158.0,Valid,signal,1.0,1.4715374000079464,1.0,3.0,2.7793701000045985,20,-20,28
119,20,1716.0,Valid,signal,1.0,1.0551369999884628,1.0,3.0,2.3627488000056474,30,30,29
120,20,-557.0,Valid,signal,1.0,0.8036725999991177,1.0,3.0,2.1118071999953827,10,-10,30
121,20,1716.0,Valid,signal,1.0,0.9720302000059746,1.0,3.0,2.279674300007173,30,30,30
122,20,-1158.0,Valid,signal,1.0,1.467056199995568,1.0,3.0,5.163780800008681,20,-20,29
123,20,2274.0,Valid,signal,1.0,1.1791407999990042,1.0,3.0,4.546552400002838,40,40,34
124,20,2274.0,Valid,signal,0,1.738371899991762,0.0,3.0,3.046202199999243,40,40,35
125,20,-557.0,Invalid,noise,0,2.372081599998637,1.0,1.0,3.6799910999980057,10,-10,31
126,20,557.0,Valid,noise,0,1.5714995000016645,1.0,3.0,2.8793236000055913,10,10,32
127,20,2274.0,Valid,signal,0,2.9388921999925515,0.0,2.0,4.246596500001033,40,40,36
128,20,-1158.0,Invalid,noise,0,1.8551898999867265,1.0,1.0,3.163061799990828,20,-20,30
129,20,-2274.0,Invalid,noise,0,3.089141800010111,1.0,1.0,4.3967157999868505,40,-40,37
130,20,-557.0,Valid,signal,1.0,1.012951000011526,1.0,4.0,4.697253399994224,10,-10,33
131,20,557.0,Valid,signal,1.0,0.8717443000059575,1.0,4.0,2.179373000006308,10,10,34
132,20,-1716.0,Valid,signal,1.0,0.8708538999926532,1.0,4.0,2.1787144000118133,30,-30,31
133,20,-1158.0,Valid,signal,1.0,0.8714688000036404,1.0,4.0,2.1792845000018133,20,-20,31
134,20,-557.0,Valid,noise,0,1.7392606000066737,1.0,3.0,3.046751599991694,10,-10,35
135,20,1716.0,Valid,noise,0,1.737196000001859,1.0,2.0,3.045185800001491,30,30,32
136,20,557.0,Valid,signal,1.0,1.3556375000043772,1.0,3.0,2.663352699993993,10,10,36
137,20,1716.0,Valid,signal,1.0,1.0048486000014236,1.0,3.0,2.312546300003305,30,30,33
