,dprime,meta_d,m_ratio,m_diff,participant,degrees,validity,stimulus,s,criterion,dprime_metadpy,criterion_metadpy,Hit Rate,False Alarm Rate
0,1.594626178664242,1.456095622084971,0.9351505796628679,-0.10097513609165287,1,30,Valid,1.0,,0.20785729148234267,1.594626178664242,0.20785729148234267,0.7222222222222222,0.1574074074074074
0,1.6988716630741059,0.45454300259705716,0.2985546368541984,-1.0679354535624996,1,30,Invalid,,,0.3009135488389549,1.6988716630741059,0.3009135488389549,0.7083333333333334,0.125
0,2.6146202098422116,2.125370048283039,0.8500795839270678,-0.3748312134206935,1,10,Valid,,,0.47884545633997116,2.6146202098422116,0.47884545633997116,0.7962962962962963,0.037037037037037035
0,2.5438821976221577,1.5297691787465029,0.7074427856350888,-0.6326236109024741,1,10,Invalid,,,0.4597232973111661,2.5438821976221577,0.4597232973111661,0.7916666666666666,0.041666666666666664
0,2.5960278102028176,0.6707894424389983,0.26693531869979786,-1.8421393288690235,1,20,Valid,,,-0.026943783791569142,2.5960278102028176,-0.026943783791569142,0.9074074074074074,0.10185185185185185
0,2.0574838772967197,2.314153997048955,1.2760559394965145,0.5006331901460568,1,20,Invalid,,,-0.3542521884522782,2.0574838772967197,-0.3542521884522782,0.9166666666666666,0.25
0,0.12318157491573195,0.12365901713866491,1.0247595770781892,0.0029877690677335283,1,40,Valid,,,0.34380693452037414,0.12318157491573195,0.34380693452037414,0.3888888888888889,0.3425925925925926
0,0.6531557383121731,0.4693855140768255,0.7836664499211531,-0.12957532458616905,1,40,Invalid,,,0.2219444135420113,0.6531557383121731,0.2219444135420113,0.5416666666666666,0.2916666666666667
0,3.0007147587693526,3.209440148082886,1.1777707990614315,0.48442764935181115,3,30,Valid,,,-0.8547266301086941,3.0007147587693526,-0.8547266301086941,0.9907407407407407,0.25925925925925924
0,2.280186678820343,1.8640787415389233,0.9666056249960542,-0.06440035410727951,3,30,Invalid,,,-0.5915710567120738,2.280186678820343,-0.5915710567120738,0.9583333333333334,0.2916666666666667
0,2.681935380144666,0.5879511956720865,0.22920530039828674,-1.977221575858119,3,10,Valid,,,0.4451878711887439,2.681935380144666,0.4451878711887439,0.8148148148148148,0.037037037037037035
0,2.882013776498253,1.8837215290810858,0.7700750722369906,-0.562431575977963,3,10,Invalid,,,-0.2906575078731187,2.882013776498253,-0.2906575078731187,0.9583333333333334,0.125
0,3.360254390307834,3.141104633820443,1.022341970604351,0.06864480713094645,3,20,Valid,,,-0.6749568143394533,3.360254390307834,-0.6749568143394533,0.9907407407407407,0.1574074074074074
0,2.7417186375528777,2.6363924761480346,1.2179862183524577,0.47184214181484085,3,20,Invalid,,,-0.9401320194809814,2.467561430996845,-0.8030534162029651,0.9895833333333334,0.3333333333333333
0,0.4052977974019828,0.320279529741354,0.8125525738451598,-0.07388515578259652,3,40,Valid,,,0.6589852214731808,0.4052977974019828,0.6589852214731808,0.32407407407407407,0.19444444444444445
0,0.4438888270840225,0.39127964703546236,0.9641143515428982,-0.014563961048254082,3,40,Invalid,,,0.32657786915608666,0.4438888270840225,0.32657786915608666,0.4583333333333333,0.2916666666666667
0,1.2118843990035555,0.9256240667474951,0.7958516395573554,-0.23743701240328452,4,30,Valid,,,0.8401613934163974,1.2118843990035555,0.8401613934163974,0.4074074074074074,0.07407407407407407
0,1.5212360018743203,0.7352761208799586,0.5967914280225923,-0.49677260896896247,4,30,Invalid,,,0.971046395185085,1.5212360018743203,0.971046395185085,0.4166666666666667,0.041666666666666664
0,3.0068352091505774,3.001619532800672,1.0408396927935093,0.11777531204019498,4,10,Valid,,,0.1784599156823109,3.0068352091505774,0.1784599156823109,0.9074074074074074,0.046296296296296294
0,2.5438821976221577,0.16389992607540646,0.07579563105277116,-1.9984928635735706,4,10,Invalid,,,0.4597232973111661,2.5438821976221577,0.4597232973111661,0.7916666666666666,0.041666666666666664
0,1.5847213080194145,0.4483777731846627,0.2896444891295755,-1.0996502059842286,4,20,Valid,,,0.17506091209199376,1.5847213080194145,0.17506091209199376,0.7314814814814815,0.16666666666666666
0,1.2860609300660761,0.894884340861284,0.76959106358997,-0.2679206645487956,4,20,Invalid,,,0.324391101068663,1.2860609300660761,0.324391101068663,0.625,0.16666666666666666
0,0.19681404361421384,0.894884340861284,0.76959106358997,-0.2679206645487956,4,40,Valid,,,1.2265506670858706,0.19681404361421384,1.2265506670858706,0.12962962962962962,0.09259259259259259
0,0.41889928340360316,0.894884340861284,0.76959106358997,-0.2679206645487956,4,40,Invalid,,,0.7579719243998995,0.41889928340360316,0.7579719243998995,0.2916666666666667,0.16666666666666666
0,2.0423777614516623,0.934242422755598,0.47361273850668273,-1.0383447709531195,5,30,Valid,,,0.0781851845457247,2.0423777614516623,0.0781851845457247,0.8271604938271605,0.13580246913580246
0,2.117770946477709,-0.6959808963515388,-0.3847232892868659,-2.505023696026154,5,30,Invalid,,,-0.09146390713715341,2.117770946477709,-0.09146390713715341,0.875,0.16666666666666666
0,3.9353303011265925,3.042938720207444,0.8453609943083163,-0.5566344097276672,5,10,Valid,,,0.013087246083982595,3.9353303011265925,0.013087246083982595,0.9746835443037974,0.023809523809523808
0,4.378699511044171,1.6080505994453178,0.4930235661356698,-1.6535594125248116,5,10,Invalid,,,-4.440892098500626e-16,3.8006633782744803,0.03759982171558862,0.9857142857142858,0.014285714285714285
0,3.385842314496285,2.2304984631089306,0.7259856255677319,-0.841874300972516,5,20,Valid,,,-0.5580045392546513,3.385842314496285,-0.5580045392546513,0.9878048780487805,0.1282051282051282
0,2.062261582420264,1.8392965900836817,1.0308271327293395,0.055004605826589836,5,20,Invalid,,,-0.18950955763721772,2.062261582420264,-0.18950955763721772,0.8888888888888888,0.2
0,-0.01757215093968889,1.8392965900836817,1.0308271327293395,0.055004605826589836,5,40,Valid,,,0.9172439440072295,-0.01757215093968889,0.9172439440072295,0.17721518987341772,0.18181818181818182
0,-0.07424847601526297,1.8392965900836817,1.0308271327293395,0.055004605826589836,5,40,Invalid,,,0.9660237296549021,-0.07424847601526297,0.9660237296549021,0.15789473684210525,0.17647058823529413
0,1.3764186725997194,0.6895844164719657,0.5206260299670603,-0.6349448555577007,6,30,Valid,,,0.7578942566183154,1.3764186725997194,0.7578942566183154,0.4722222222222222,0.07407407407407407
0,0.648782202137326,0.3636430138573466,0.6312780530413739,-0.21239952731034623,6,30,Invalid,,,0.6430304650330381,0.648782202137326,0.6430304650330381,0.375,0.16666666666666666
0,1.7028885636852733,1.9787802044147231,1.1942564395588906,0.3218662126881193,6,10,Valid,,,0.3691960670047134,1.7028885636852733,0.3691960670047134,0.6851851851851852,0.1111111111111111
0,0.9168512571139881,0.6540112624918184,0.7852458405692089,-0.1788632701739501,6,10,Invalid,,,0.3537921729429188,0.9168512571139881,0.3537921729429188,0.5416666666666666,0.20833333333333334
0,0.893924451364144,0.6540112624918184,0.7852458405692089,-0.1788632701739501,6,20,Valid,,,0.6811814195966917,0.893924451364144,0.6811814195966917,0.4074074074074074,0.12962962962962962
0,0.867161646662473,1.649768918781464,2.0731379967634487,0.853985463286915,6,20,Invalid,,,0.11494145936686137,0.867161646662473,0.11494145936686137,0.625,0.2916666666666667
0,-0.2357739273394246,1.649768918781464,2.0731379967634487,0.853985463286915,6,40,Valid,,,1.5639905565878873,-0.2357739273394246,1.5639905565878873,0.046296296296296294,0.07407407407407407
0,-0.5813150157462372,1.649768918781464,2.0731379967634487,0.853985463286915,6,40,Invalid,,,1.4410068882491265,-0.5813150157462372,1.4410068882491265,0.041666666666666664,0.125
0,4.102804455527916,4.545452180376247,1.2649898533013921,0.9521805280278519,7,30,Valid,,,-0.7803321064541181,3.873400548966953,-0.6656301531736367,0.9976851851851852,0.10185185185185185
0,3.6939854653580584,2.8134124364584308,0.94816929811038,-0.15379230436720048,7,30,Invalid,,,-0.4639986055783911,3.419828258802026,-0.3269200023003749,0.9895833333333334,0.08333333333333333
0,5.6634686684361455,3.6591243307828836,0.774616396611956,-1.0646645623870623,7,10,Valid,,,-3.1086244689504383e-15,5.204660855314227,4.440892098500626e-16,0.9976851851851852,0.0023148148148148147
0,3.6939854653580584,3.4945297799790973,1.1777177799354475,0.5273250391534661,7,10,Invalid,,,-0.4639986055783911,3.419828258802026,-0.3269200023003749,0.9895833333333334,0.08333333333333333
0,4.214728461318714,4.692183884750005,1.2691620971593536,0.9951117020460938,7,20,Valid,,,-0.7243701035587189,3.985324554757751,-0.6096681502782375,0.9976851851851852,0.08333333333333333
0,3.6939854653580584,2.9056107093070707,0.979241731899693,-0.06159403151856058,7,20,Invalid,,,-0.4639986055783911,3.419828258802026,-0.3269200023003749,0.9895833333333334,0.08333333333333333
0,2.679215498841944,1.7549322683369049,0.690266807726405,-0.7874647420557661,7,40,Valid,,,-0.574898075634585,2.679215498841944,-0.574898075634585,0.9722222222222222,0.2222222222222222
0,2.350415693202339,1.245742999422541,0.6024474831021339,-0.8220604761732697,7,40,Invalid,,,-0.2077862804994685,2.350415693202339,-0.2077862804994685,0.9166666666666666,0.16666666666666666
0,1.9377174302679423,0.3601946533292482,0.19820014306693418,-1.4571332645805126,8,30,Valid,,,0.9456471099215862,1.9377174302679423,0.9456471099215862,0.5092592592592593,0.027777777777777776
0,1.468988744340383,-0.6316200163849397,-0.4808834950962588,-1.9450774812923346,8,30,Invalid,,,0.41585500820581633,1.468988744340383,0.41585500820581633,0.625,0.125
0,3.421190132067848,0.9227081638800477,0.3139164461069529,-2.0166350126978254,8,10,Valid,,,1.1211392681841457,3.1917862255068923,1.0064373149036678,0.7222222222222222,0.0023148148148148147
0,2.985481088453501,0.5948280009342388,0.2495119331506483,-1.7891381421804409,8,10,Invalid,,,0.8182507940306689,2.71132388189747,0.6811721907526533,0.75,0.010416666666666666
0,4.156692023111048,0.8030152120280211,0.2203999206670455,-2.8404308001015512,8,20,Valid,,,0.7533883226625459,3.927288116550092,0.638686369382068,0.9074074074074074,0.0023148148148148147
0,4.042655734379665,-0.07594510893277953,-0.023770716927570313,-3.2708470197243336,8,20,Invalid,,,-0.2896634710675876,3.768498527823633,-0.15258486778957137,0.9895833333333334,0.041666666666666664
0,0.3212870070325067,-0.07594510893277953,-0.023770716927570313,-3.2708470197243336,8,40,Valid,,,1.7538623215393039,0.3212870070325067,1.7538623215393039,0.05555555555555555,0.027777777777777776
0,-0.348670269021607,-0.07594510893277953,-0.023770716927570313,-3.2708470197243336,8,40,Invalid,,,1.5573292616114416,-0.348670269021607,1.5573292616114416,0.041666666666666664,0.08333333333333333
0,0.6130182363344183,0.1586223209042463,0.28775365921220497,-0.39262113274466004,9,30,Valid,,,1.4796464430938676,0.6130182363344183,1.4796464430938676,0.12037037037037036,0.037037037037037035
0,0.18292781427430682,0.1586223209042463,0.28775365921220497,-0.39262113274466004,9,30,Invalid,,,1.0588854732388544,0.18292781427430682,1.0588854732388544,0.16666666666666666,0.125
0,1.900731023980125,0.1586223209042463,0.28775365921220497,-0.39262113274466004,9,10,Valid,,,1.8813688222280072,1.6713271174191693,1.7666668689475293,0.17592592592592593,0.0023148148148148147
0,1.6365015880613378,0.1586223209042463,0.28775365921220497,-0.39262113274466004,9,10,Invalid,,,1.4927405442267505,1.3623443815053067,1.355661940948735,0.25,0.010416666666666666
0,1.588905671696526,0.8813315255611225,0.5832708288401047,-0.6296844244628874,9,20,Valid,,,0.8874246844093368,1.588905671696526,0.8874246844093368,0.46296296296296297,0.046296296296296294
0,0.7196220810805503,0.4218908498011593,0.6757271028493272,-0.20246008717055486,9,20,Invalid,,,0.7905383398357327,0.7196220810805503,0.7905383398357327,0.3333333333333333,0.125
0,0.5488100231504547,0.4218908498011593,0.6757271028493272,-0.20246008717055486,9,40,Valid,,,1.3188138064478232,0.5488100231504547,1.3188138064478232,0.14814814814814814,0.05555555555555555
0,-0.348670269021607,-0.05166343680275817,0.22689538394565972,0.17603373316316454,9,40,Invalid,,,1.5573292616114416,-0.348670269021607,1.5573292616114416,0.041666666666666664,0.08333333333333333
